episode,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss
1,-2.1274973734510194,12,0,0,1,13.788032479603938,0.999772,nan
2,-106.35797401089245,166,0,1,0,14.553286459406308,0.996618,nan
3,-95.4665043349859,146,0,1,0,9.607535960371347,0.993844,nan
4,-2.919840178267585,72,0,0,1,12.684216677900247,0.992476,nan
5,5.323353026265596,101,0,0,1,7.837620075633644,0.990557,nan
6,-7.632581256018293,111,0,0,1,14.0655872167756,0.988448,nan
7,122.42569201751658,107,1,0,0,1.6365615076603006,0.986415,nan
8,-1.6417577021348029,149,0,0,1,10.120178305027487,0.983584,nan
9,-92.62978720594252,161,0,1,0,7.814190191737681,0.980525,0.21641184432575336
10,-10.22212925751436,114,0,0,1,15.285452692168594,0.978359,0.5415594182385687
11,3.3791190630165486,200,0,0,0,8.834828531903145,0.974559,0.43852965063415467
12,122.70206848866675,95,1,0,0,1.7983732720852066,0.972754,0.32583235229708646
13,-8.700381897146617,161,0,0,1,13.349487537339728,0.969695,0.4173608435583966
14,0.7342837327063663,135,0,0,1,9.282154722413244,0.96713,0.33992640051852774
15,-96.11341932192336,162,0,1,0,9.53111717738026,0.964052,0.4456432802418684
16,122.49986788509533,94,1,0,0,1.9243536812605815,0.962266,0.29248965755501327
17,4.790368088806651,126,0,0,1,7.479099748475097,0.9598720000000001,0.5045009221704233
18,-96.49360104411987,163,0,1,0,9.696193390979355,0.956775,0.2659822681724477
19,-106.64478940087801,195,0,1,0,13.971694154399085,0.95307,0.40528263472116144
20,121.54834733501133,113,1,0,0,1.9252143959057235,0.950923,0.407437952754574
21,1.1043098448031063,138,0,0,1,9.02223314100984,0.948301,0.360850407384282
22,-108.09840723165188,153,0,1,0,15.74861113224452,0.945394,0.40583597016490364
23,7.104520901567436,93,0,0,1,7.147036137982715,0.943627,0.6479324202343661
24,8.581542470487179,39,0,0,1,7.758512557634835,0.942886,0.23702121502122817
25,1.0834648900032295,100,0,0,1,9.982551347876806,0.940986,0.34495568711310626
26,121.52204783902562,111,1,0,0,1.9882726692536365,0.938877,0.4566199468566222
27,-92.91994515363507,151,0,1,0,8.209269165583963,0.936008,0.38599463869873063
28,-92.304943352885,154,0,1,0,7.826879192861068,0.933082,0.2576808155780392
29,5.266953073794926,42,0,0,1,9.340934239531158,0.932284,0.27876342176681473
30,-93.75216882959435,132,0,1,0,9.100368207675594,0.929776,0.4743247021158988
31,-95.95226887166186,174,0,1,0,9.1505224992423,0.92647,0.3864492607067457
32,6.341670816427169,92,0,0,1,7.553448384664824,0.924722,0.6280965250005702
33,-92.35203392524247,164,0,1,0,7.600424479039799,0.921606,0.37513806156973106
34,-95.96316453619936,156,0,1,0,9.60598978451825,0.918642,0.4239324603874523
35,7.935587255447726,200,0,0,0,6.556505826236234,0.914842,0.3492913384735584
36,7.886806527350861,30,0,0,1,8.330880529202993,0.914272,0.5771602232940495
37,-92.52435567315474,143,0,1,0,8.211565899988777,0.911555,0.5758305712948208
38,121.64805841632443,110,1,0,0,1.9503783082563684,0.909465,0.5547301971861585
39,-93.17986253518997,121,0,1,0,9.08921506047339,0.907166,0.31220120811942687
40,-90.98762866488475,132,0,1,0,7.71822184886095,0.904658,0.2723162096473529
41,124.62131799729335,50,1,0,0,1.9636404553134297,0.903708,0.3108170410990715
42,-95.47908104945402,154,0,1,0,9.413837113493443,0.900782,0.36413504115559836
43,-93.44064584938236,139,0,1,0,8.769730441109763,0.898141,0.5935328519574815
44,122.46936104060993,94,1,0,0,1.9396189336551293,0.896355,0.5771337234751975
45,123.82599614171575,71,1,0,0,1.836394798061556,0.895006,0.7831513598220239
46,12.818491012582086,86,0,0,1,4.465147362628382,0.893372,0.5109136810223031
47,123.26368707981948,86,1,0,0,1.7424559140503582,0.891738,0.6311487942111007
48,-91.37817520869586,138,0,1,0,7.763475667759328,0.889116,0.6648064415051561
49,122.45063088922862,102,1,0,0,1.7489811441521237,0.887178,0.4477241352638778
50,124.7291539322717,47,1,0,0,1.984706826742569,0.886285,0.9066970785088996
51,-94.21946587458751,168,0,1,0,8.43412026883361,0.883093,0.4922235885501972
52,-94.97904123991223,158,0,1,0,9.063817208722542,0.880091,0.5047857721831319
53,-101.67208425910971,125,0,1,0,13.235434998474265,0.877716,0.5108673412203789
54,-90.98999794226249,138,0,1,0,7.569387034542631,0.875094,0.5653875190359743
