episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl
1,1,5110,25.37608890916801,110,0,0,0,7.233432513886441,-0.012381115782773122,4.953601531684399,1.6916439458727837,0.012959282510564663
2,1,5220,21.772721353826828,110,0,0,0,9.035116989659802,-0.012381115782773122,4.953601531684399,1.6916439458727837,0.012959282510564663
3,1,5330,24.44908183109315,110,0,0,0,7.696936951140516,-0.012381115782773122,4.953601531684399,1.6916439458727837,0.012959282510564663
4,1,5440,17.556730379427584,110,0,0,0,11.14311257901864,-0.012381115782773122,4.953601531684399,1.6916439458727837,0.012959282510564663
5,2,5550,15.707312251428498,110,0,0,0,12.067821739897559,0.023027168586850166,108.3420291741689,1.7442430257797241,0.035855980357155204
6,2,5660,8.796741775036445,110,0,0,0,15.523105880219923,0.023027168586850166,108.3420291741689,1.7442430257797241,0.035855980357155204
7,2,5748,137.26485115683062,88,1,0,0,1.8390522882718023,0.023027168586850166,108.3420291741689,1.7442430257797241,0.035855980357155204
8,2,5858,16.304526604969563,110,0,0,0,11.769213463186448,0.023027168586850166,108.3420291741689,1.7442430257797241,0.035855980357155204
9,2,5968,-2.924714826249459,110,0,0,0,21.383835279811823,0.023027168586850166,108.3420291741689,1.7442430257797241,0.035855980357155204
10,3,6078,22.38626922483963,110,0,0,0,8.728343254267271,0.015487812808714807,152.31634330749512,1.7584054879844189,0.029502010547730606
11,3,6140,-96.34557969509547,62,0,1,0,19.294266709500043,0.015487812808714807,152.31634330749512,1.7584054879844189,0.029502010547730606
12,3,6250,22.51789928124594,110,0,0,0,8.662527127115176,0.015487812808714807,152.31634330749512,1.7584054879844189,0.029502010547730606
13,3,6360,11.706338224340307,110,0,0,0,14.068307856300297,0.015487812808714807,152.31634330749512,1.7584054879844189,0.029502010547730606
14,3,6416,-93.53498957873181,56,0,0,1,18.03897245593915,0.015487812808714807,152.31634330749512,1.7584054879844189,0.029502010547730606
15,4,6526,17.780813297809765,110,0,0,0,11.031070118833266,-0.0038737119175493717,176.3526286482811,1.708002146333456,0.005527200213691685
16,4,6636,23.131373161279964,110,0,0,0,8.355790187098162,-0.0038737119175493717,176.3526286482811,1.708002146333456,0.005527200213691685
17,4,6732,-77.60349280703396,96,0,0,1,9.07322306373128,-0.0038737119175493717,176.3526286482811,1.708002146333456,0.005527200213691685
18,4,6842,11.950086508724699,110,0,0,0,13.946433513375803,-0.0038737119175493717,176.3526286482811,1.708002146333456,0.005527200213691685
19,4,6891,-87.9927377671061,49,0,1,0,15.442847049638983,-0.0038737119175493717,176.3526286482811,1.708002146333456,0.005527200213691685
20,5,7001,29.894754195572165,110,0,0,0,4.974099870684367,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
21,5,7111,9.022700304178716,110,0,0,0,15.410127514483875,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
22,5,7208,-89.62602229376397,97,0,0,1,15.059487914620131,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
23,5,7264,-87.07973460223161,56,0,0,1,14.811344468411503,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
24,5,7343,-75.35099189650242,79,0,0,1,8.371972916721663,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
25,5,7442,-76.68252454829283,99,0,0,1,8.53774004287885,0.010731964488513768,303.05586981773376,1.5569187998771667,0.026584421459119767
26,6,7552,-2.868660867928601,110,0,0,0,21.355807295916595,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
27,6,7594,-87.57636635513538,42,0,0,1,15.409660844140928,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
28,6,7674,-77.58293041863129,80,0,0,1,9.462941977053788,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
29,6,7784,3.1895173567710025,110,0,0,0,18.326719188301595,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
30,6,7858,-75.97556036436819,74,0,0,1,8.809256949922242,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
31,6,7947,-92.69045341741042,89,0,0,1,16.791704375278435,-0.007752787554636598,245.70598769187927,1.4756645895540714,0.013329092682397459
32,7,8057,-5.7846446114929195,110,0,0,0,22.813799474877765,-0.004703271551989019,86.31767052412033,1.4516081735491753,0.011412378582463134
33,7,8167,3.434931608987662,110,0,0,0,18.204011862079387,-0.004703271551989019,86.31767052412033,1.4516081735491753,0.011412378582463134
34,7,8277,1.4808979008254377,110,0,0,0,19.1810287161605,-0.004703271551989019,86.31767052412033,1.4516081735491753,0.011412378582463134
35,7,8387,3.788426700560091,110,0,0,0,18.027264316293177,-0.004703271551989019,86.31767052412033,1.4516081735491753,0.011412378582463134
36,7,8480,-95.17444162880639,93,0,0,1,17.9336978780554,-0.004703271551989019,86.31767052412033,1.4516081735491753,0.011412378582463134
37,8,8590,-7.378432213977574,110,0,0,0,23.610693973675893,-0.0013914024457335472,15.39260795712471,1.4239613711833954,0.012745355372317135
38,8,8700,12.956567266096247,110,0,0,0,13.44319322890417,-0.0013914024457335472,15.39260795712471,1.4239613711833954,0.012745355372317135
39,8,8810,0.7659897996605927,110,0,0,0,19.538482566172622,-0.0013914024457335472,15.39260795712471,1.4239613711833954,0.012745355372317135
40,8,8920,7.998371097324427,110,0,0,0,15.922292316949605,-0.0013914024457335472,15.39260795712471,1.4239613711833954,0.012745355372317135
41,9,9030,4.874547407673539,110,0,0,0,17.484202862876145,-0.005132365564350039,17.17616394162178,1.4003763273358345,0.008888706914149225
42,9,9140,-2.645187251452935,110,0,0,0,21.244070689378677,-0.005132365564350039,17.17616394162178,1.4003763273358345,0.008888706914149225
43,9,9250,-7.8643832212938465,110,0,0,0,23.853668378385073,-0.005132365564350039,17.17616394162178,1.4003763273358345,0.008888706914149225
44,9,9360,-0.9175351220352959,110,0,0,0,20.38024462466986,-0.005132365564350039,17.17616394162178,1.4003763273358345,0.008888706914149225
45,9,9470,-3.652220054883413,110,0,0,0,21.747586795179856,-0.005132365564350039,17.17616394162178,1.4003763273358345,0.008888706914149225
46,10,9580,-7.004307274583621,110,0,0,0,23.423631303865044,-0.008494018635246903,17.26657474040985,1.4761310517787933,0.02234268665779382
47,10,9690,-9.564091472588977,110,0,0,0,24.703522500932333,-0.008494018635246903,17.26657474040985,1.4761310517787933,0.02234268665779382
48,10,9800,9.186434734150534,110,0,0,0,15.328259293139018,-0.008494018635246903,17.26657474040985,1.4761310517787933,0.02234268665779382
49,10,9910,-1.3220912919201517,110,0,0,0,20.58252331253331,-0.008494018635246903,17.26657474040985,1.4761310517787933,0.02234268665779382
50,11,10020,3.212855157016193,110,0,0,0,18.31505008806513,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
51,11,10072,138.78335029666565,52,1,0,0,1.9798025182404115,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
52,11,10182,14.16967551318552,110,0,0,0,12.836639909980478,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
53,11,10227,139.37470272746572,45,1,0,0,1.8591254040052978,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
54,11,10278,138.90271160606454,51,1,0,0,1.945121461983635,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
55,11,10297,-83.2284654986483,19,0,1,0,13.810710016708562,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
56,11,10345,139.58250093967354,48,1,0,0,1.6802266992945436,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
57,11,10455,13.098399697812578,110,0,0,0,13.372276918831863,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
58,11,10475,-81.26922607672594,20,0,1,0,12.80609070493621,0.026777688704896718,608.3564510345459,1.3368893787264824,0.06474274664651603
59,12,10566,-95.74612694527934,91,0,0,1,18.269540938642592,-0.006704662984702736,285.794739484787,1.353927567601204,0.04165325005305931
60,12,10676,-12.405262393013091,110,0,0,0,26.124108259113857,-0.006704662984702736,285.794739484787,1.353927567601204,0.04165325005305931
61,12,10772,-103.03756481974678,96,0,0,1,21.790259875876316,-0.006704662984702736,285.794739484787,1.353927567601204,0.04165325005305931
62,12,10835,-75.26500550112982,63,0,0,1,8.728979719035364,-0.006704662984702736,285.794739484787,1.353927567601204,0.04165325005305931
63,12,10945,-2.3616681082812354,110,0,0,0,21.102310821878774,-0.006704662984702736,285.794739484787,1.353927567601204,0.04165325005305931
64,13,11055,5.455272067363233,110,0,0,0,17.193840828270677,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
65,13,11107,138.79546478588784,52,1,0,0,1.9737443747942407,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
66,13,11217,16.00178726881666,110,0,0,0,11.920583133329814,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
67,13,11327,6.6611339595036,110,0,0,0,16.59090978798635,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
68,13,11437,3.2832400316140804,110,0,0,0,18.279856751931113,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
69,13,11485,139.1835427220384,48,1,0,0,1.8797063055540386,0.0188996239254872,236.84745613733926,1.3957392672697704,0.03655087780983498
70,14,11517,-70.68553703650875,32,0,1,0,7.214246184827608,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
71,14,11536,-82.06107137023893,19,0,1,0,13.227013351692705,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
72,14,11560,-84.34625797927973,24,0,1,0,14.2446066562131,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
73,14,11670,17.20630500143932,110,0,0,0,11.318324267018482,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
74,14,11693,-78.04511797702045,23,0,1,0,11.119035756248392,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
75,14,11803,-0.3638020822148249,110,0,0,0,20.103378009577856,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
76,14,11913,-2.1202833684109397,110,0,0,0,20.981619550892567,0.01763490156736225,345.1911897659302,1.4610609859228134,0.04101644892944023
77,15,12023,4.423811546555046,110,0,0,0,17.709570994460627,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
78,15,12081,-66.20663928743076,58,0,0,1,4.324796612185842,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
79,15,12191,19.31075188844974,110,0,0,0,10.266100823513275,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
80,15,12256,-74.96882526659294,65,0,0,1,8.530890202598659,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
81,15,12364,-80.66581901884237,108,0,0,1,10.304386975424109,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
82,15,12474,21.98188884851626,110,0,0,0,8.930532343480023,0.0025433922613350055,199.41715463002524,1.5222545663515727,0.03283707933345189
83,16,12584,5.753486352183385,110,0,0,0,17.04473388756051,-0.005338166549336165,77.017138838768,1.4581063017249107,0.01091781001741765
84,16,12694,5.609537889315721,110,0,0,0,17.11670802381259,-0.005338166549336165,77.017138838768,1.4581063017249107,0.01091781001741765
85,16,12782,-74.17598053564257,88,0,0,1,7.55946723629174,-0.005338166549336165,77.017138838768,1.4581063017249107,0.01091781001741765
86,16,12892,4.663456116446327,110,0,0,0,17.589749608350065,-0.005338166549336165,77.017138838768,1.4581063017249107,0.01091781001741765
87,17,13002,1.3378431442950995,110,0,0,0,19.252555195590606,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
88,17,13036,-70.43304129987618,34,0,1,0,7.037998418670541,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
89,17,13146,-2.0353970233909124,110,0,0,0,20.939176178268696,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
90,17,13256,-12.200202243849924,110,0,0,0,26.021577983877254,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
91,17,13366,-8.165117844039896,110,0,0,0,24.004036788707058,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
92,17,13414,139.05789404734597,48,1,0,0,1.9425306429002531,0.007885095837991685,204.2078229188919,1.3942537158727646,0.014107656228588894
93,18,13524,3.9913342687395463,110,0,0,0,17.925809834100676,-0.0006366592715494335,149.49070525169373,1.468141820281744,0.012033424980472773
