policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,115.2576831918598,12,1,0,0,0,1.7042435354202319,93.74398040771484,-15.333999633789062,-2.7044143676757812,8.349483644743195,1.4443359375,0,forward,1.0,12,0,0,0,0,0
deterministic,2,115.25592366032133,12,1,0,0,0,1.7062357026749069,93.73603820800781,-15.333999633789062,-2.7057433128356934,8.341704757649902,1.4384765625,0,forward,1.0,12,0,0,0,0,0
deterministic,3,115.25709375388905,12,1,0,0,0,1.7065492214131373,93.7354736328125,-15.333999633789062,-2.706717014312744,8.340905326056914,1.4423828125,0,forward,1.0,12,0,0,0,0,0
deterministic,4,115.27787864275733,12,1,0,0,0,1.6940868078968525,93.75067138671875,-15.333999633789062,-2.7040019035339355,8.356074809568128,1.451171875,0,forward,1.0,12,0,0,0,0,0
deterministic,5,115.2647282804323,12,1,0,0,0,1.7000610317941443,93.74371337890625,-15.333999633789062,-2.7036654949188232,8.349107901220439,1.44921875,0,forward,1.0,12,0,0,0,0,0
deterministic,6,115.26679262791761,12,1,0,0,0,1.6997260659940892,93.7438735961914,-15.333999633789062,-2.7048072814941406,8.34940035829597,1.44921875,0,forward,1.0,12,0,0,0,0,0
deterministic,7,115.25546985333882,12,1,0,0,0,1.7070346450315041,93.73494720458984,-15.333999633789062,-2.706503391265869,8.34045401434119,1.4423828125,0,forward,1.0,12,0,0,0,0,0
deterministic,8,115.27196527235232,12,1,0,0,0,1.6971923622654002,93.74694061279297,-15.333999633789062,-2.704376697540283,8.352192053198996,1.447265625,0,forward,1.0,12,0,0,0,0,0
deterministic,9,115.2659404507918,12,1,0,0,0,1.7024530870644115,93.74563598632812,-15.333999633789062,-2.706541061401367,8.351203908841963,1.4423828125,0,forward,1.0,12,0,0,0,0,0
deterministic,10,115.25944299575039,12,1,0,0,0,1.7004149749850086,93.7437744140625,-15.333999633789062,-2.701345920562744,8.348869297262,1.4453125,0,forward,1.0,12,0,0,0,0,0
deterministic,11,115.26048178569248,12,1,0,0,0,1.7019795198195888,93.7414779663086,-15.333999633789062,-2.7035715579986572,8.346679778198123,1.443359375,0,forward,1.0,12,0,0,0,0,0
deterministic,12,115.26386126966133,12,1,0,0,0,1.6992597673584504,93.75028228759766,-15.333999633789062,-2.7021613121032715,8.355662162285643,1.4462890625,0,forward,1.0,12,0,0,0,0,0
deterministic,13,115.26640119068905,12,1,0,0,0,1.7007288786906027,93.74256134033203,-15.333999633789062,-2.7054636478424072,8.348032848926554,1.4443359375,0,forward,1.0,12,0,0,0,0,0
deterministic,14,115.27695304632763,12,1,0,0,0,1.6940112635258047,93.75621032714844,-15.333999633789062,-2.7033185958862305,8.356062735806283,1.451171875,0,forward,1.0,12,0,0,0,0,0
deterministic,15,115.27686268057636,12,1,0,0,0,1.6921883045354595,93.75345611572266,-15.333999633789062,-2.701345443725586,8.358654569572753,1.453125,0,forward,1.0,12,0,0,0,0,0
deterministic,16,115.25853525595664,12,1,0,0,0,1.701625674858912,93.74214935302734,-15.333999633789062,-2.7023255825042725,8.347407415425307,1.4482421875,0,forward,1.0,12,0,0,0,0,0
deterministic,17,115.2693307478584,12,1,0,0,0,1.699715545685459,93.74372863769531,-15.333999633789062,-2.7055790424346924,8.349042325543534,1.4453125,0,forward,1.0,12,0,0,0,0,0
deterministic,18,115.25738622845431,12,1,0,0,0,1.704672380659109,93.73802185058594,-15.333999633789062,-2.705010175704956,8.34353899793889,1.4443359375,0,forward,1.0,12,0,0,0,0,0
deterministic,19,115.29903957905431,12,1,0,0,0,1.6832269793440218,93.76355743408203,-15.333999633789062,-2.7035775184631348,8.369054008895112,1.4619140625,0,forward,1.0,12,0,0,0,0,0
deterministic,20,115.2717457884807,12,1,0,0,0,1.695781679119958,93.7489242553711,-15.333999633789062,-2.7028000354766846,8.354272084093047,1.4541015625,0,forward,1.0,12,0,0,0,0,0
