policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m
deterministic,50,0.98,0.0,0.0,0.0,0.02,142.11446115431445,56.92,2.6899776482549997,40.80188574730816,1.4220703125
stochastic,50,0.64,0.22,0.0,0.22,0.14,74.6026516290347,87.76,4.169699238266275,44.852968941826084,2.09641357421875
