episode,update,optimized_in_update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
1,0,1,11563,-119.52441496842476,63,0,0,1,17.083581001187504,-0.015976308612152934,0.420957506634295,1.6109805405139923,0.01,0.009533612363156863,0.5101854801177979,0.0036992188543081284,0.5717421770095825,0.37947747111320496,0,103.74395751953125,-9.562865257263184,-0.5898107886314392,25.99372559537965,1.5361328125,0,0.3492063492063492,22,5,12,1,10,13
2,0,1,11713,-47.558444413375994,150,0,0,0,15.7736410263152,-0.015976308612152934,0.420957506634295,1.6109805405139923,0.01,0.009533612363156863,0.5101854801177979,0.0036992188543081284,0.5717421770095825,0.37947747111320496,1,131.97979736328125,-12.738812446594238,-5.619533061981201,60.71559768576914,1.4443359375,0,0.38,57,19,18,14,17,25
3,0,1,11863,-28.89440691838007,150,0,0,0,6.708090902373152,-0.015976308612152934,0.420957506634295,1.6109805405139923,0.01,0.009533612363156863,0.5101854801177979,0.0036992188543081284,0.5717421770095825,0.37947747111320496,1,123.67386627197266,-16.124908447265625,-4.251969337463379,59.20413354823991,2.923828125,0,0.32,48,22,21,13,18,28
4,1,2,12013,-17.656339681572888,150,0,0,0,12.710409062476801,-0.013181380636524409,0.650281285867095,1.6204269714653492,0.009847457627118644,0.007982175815413939,0.6129770874977112,0.005074218846857548,0.5696845054626465,0.34653034806251526,1,130.31906127929688,-17.19987678527832,-3.599984884262085,66.92455253839911,2.060546875,0,0.36666666666666664,55,25,23,7,13,27
5,1,2,12100,-60.13086313625671,87,0,1,0,3.0949566505956154,-0.013181380636524409,0.650281285867095,1.6204269714653492,0.009847457627118644,0.007982175815413939,0.6129770874977112,0.005074218846857548,0.5696845054626465,0.34653034806251526,0,114.85786437988281,-18.262096405029297,-3.7640621662139893,39.151581005505165,0.4423828125,0,0.42528735632183906,37,14,9,5,7,15
6,1,2,12216,-108.82478304167628,116,0,0,1,2.935799402453951,-0.013181380636524409,0.650281285867095,1.6204269714653492,0.009847457627118644,0.007982175815413939,0.6129770874977112,0.005074218846857548,0.5696845054626465,0.34653034806251526,0,118.40667724609375,-17.371734619140625,-0.6672502756118774,49.738268580150766,0.65625,0,0.3448275862068966,40,16,14,7,18,21
7,1,2,12366,-35.14523327518638,150,0,0,0,14.78684734632894,-0.013181380636524409,0.650281285867095,1.6204269714653492,0.009847457627118644,0.007982175815413939,0.6129770874977112,0.005074218846857548,0.5696845054626465,0.34653034806251526,1,132.1567840576172,-17.23133659362793,-5.828609943389893,65.69828629728619,2.26171875,0,0.38,57,21,19,15,17,21
8,1,2,12420,-87.51787387142167,54,0,1,0,18.01296957056344,-0.013181380636524409,0.650281285867095,1.6204269714653492,0.009847457627118644,0.007982175815413939,0.6129770874977112,0.005074218846857548,0.5696845054626465,0.34653034806251526,0,100.82184600830078,-13.004570960998535,-4.344038963317871,21.074875060430248,0.2064208984375,0,0.37037037037037035,20,7,10,4,5,8
9,2,3,12570,-58.9426874424394,150,0,0,0,8.695357451267098,-0.010734117880929261,0.14030864834785461,1.6511032432317734,0.009694915254237288,0.006548145040142117,0.9350743293762207,0.004378906451165676,0.5740649700164795,0.3335040211677551,1,118.7134017944336,-11.68382740020752,-7.546161651611328,59.58038978337116,2.705078125,0,0.2733333333333333,41,24,27,19,19,20
10,2,3,12720,-27.885347171467366,150,0,0,0,6.297491288263766,-0.010734117880929261,0.14030864834785461,1.6511032432317734,0.009694915254237288,0.006548145040142117,0.9350743293762207,0.004378906451165676,0.5740649700164795,0.3335040211677551,1,122.57564544677734,-16.078096389770508,-5.773454189300537,57.009866409978024,1.8134765625,0,0.3,45,28,26,12,18,21
11,2,3,12870,-12.728719115427243,150,0,0,0,8.982419341051378,-0.010734117880929261,0.14030864834785461,1.6511032432317734,0.009694915254237288,0.006548145040142117,0.9350743293762207,0.004378906451165676,0.5740649700164795,0.3335040211677551,1,121.67364501953125,-11.468029975891113,-5.8461127281188965,55.20693413406088,2.783203125,0,0.29333333333333333,44,22,26,12,16,30
12,3,4,13020,-39.06123836749762,150,0,0,0,8.605655706659707,-0.015860697109019384,0.14403055771254003,1.6222182661294937,0.009542372881355933,0.008023251786653418,0.8963445425033569,0.003597656264901161,0.5774329900741577,0.3420964181423187,1,125.32728576660156,-16.960805892944336,-6.526302337646484,62.015831097373116,2.373046875,0,0.32666666666666666,49,25,26,14,17,19
13,3,4,13170,-14.784114553600643,150,0,0,0,7.780268854094848,-0.015860697109019384,0.14403055771254003,1.6222182661294937,0.009542372881355933,0.008023251786653418,0.8963445425033569,0.003597656264901161,0.5774329900741577,0.3420964181423187,1,123.2120361328125,-14.509319305419922,-6.2143659591674805,59.20125952806985,0.89306640625,0,0.30666666666666664,46,19,20,24,26,15
14,3,4,13320,-38.49622248514992,150,0,0,0,6.136263373248423,-0.015860697109019384,0.14403055771254003,1.6222182661294937,0.009542372881355933,0.008023251786653418,0.8963445425033569,0.003597656264901161,0.5774329900741577,0.3420964181423187,1,122.81689453125,-15.607808113098145,-2.4501965045928955,57.72069750111343,2.1875,0,0.29333333333333333,44,25,23,14,25,19
15,3,4,13470,-36.87934893817821,150,0,0,0,8.652604959544176,-0.015860697109019384,0.14403055771254003,1.6222182661294937,0.009542372881355933,0.008023251786653418,0.8963445425033569,0.003597656264901161,0.5774329900741577,0.3420964181423187,1,125.80003356933594,-15.88156795501709,-3.472513198852539,59.30651642440361,0.7666015625,0,0.32666666666666666,49,23,20,11,19,28
