episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,1,31,-107.50500611850116,31,0,1,0,7.85934198728868,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,88.66815948486328,-18.59254264831543,-1.4468739032745361,10.419038412908897,3.06640625,4,0.3225806451612903
2,1,81,-119.7045538367104,50,0,1,0,5.708478864795506,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,93.171142578125,-19.6724853515625,-1.7103662490844727,17.048449026925468,0.12744140625,1,0.22
3,1,151,-91.19075754235419,70,0,0,0,9.996909543329611,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,1,92.16622161865234,-21.283565521240234,-9.68373966217041,22.009706855373995,1.9912109375,3,0.3
4,1,215,-162.59419096039287,64,0,0,1,7.865685608323127,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,93.58995819091797,-11.653721809387207,-10.159520149230957,20.487714489257222,4.33203125,3,0.28125
5,1,285,-33.997442260278966,70,0,0,0,6.719236743908061,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,1,90.90956115722656,-9.35252857208252,-3.6430413722991943,21.374892732085016,2.970703125,2,0.2571428571428571
6,1,352,-137.49502176788468,67,0,1,0,6.998868767406993,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,92.3401107788086,-20.29372787475586,-5.679159641265869,20.70340295187816,0.68896484375,1,0.19402985074626866
7,1,366,-116.09722021488685,14,0,0,1,7.828311935783337,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,87.68020629882812,-14.42222785949707,-0.7907610535621643,4.85167449155597,0.26220703125,4,0.35714285714285715
8,1,436,-64.44231705508815,70,0,0,0,5.616552167051934,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,1,95.40292358398438,-15.945701599121094,-8.420716285705566,25.496378229253537,1.5927734375,1,0.21428571428571427
9,1,461,-106.5201682974133,25,0,1,0,8.236589954769348,-0.016336202825186774,1.2826612517237663,1.785676535218954,0.006570139419636689,0.3689121603965759,0.00926953088492155,0.544191837310791,0.19461241364479065,0,87.904541015625,-17.99346160888672,-1.4200429916381836,8.523641510992318,2.173828125,1,0.32
10,2,531,-30.852628164532035,70,0,0,0,3.551439807152922,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674,1,92.5408935546875,-15.855561256408691,-4.932079792022705,22.441774050483527,1.416015625,5,0.22857142857142856
11,2,600,-146.33358858577137,69,0,1,0,7.845494359371901,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674,0,92.18425750732422,-20.699485778808594,-6.737913608551025,22.503219146908442,0.214599609375,3,0.2318840579710145
12,2,670,-37.30857377704793,70,0,0,0,3.9655703531288062,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674,1,94.33614349365234,-11.07652473449707,-4.82996940612793,23.14939669907008,2.529296875,5,0.24285714285714285
13,2,740,-22.08057741908374,70,0,0,0,3.170915179097336,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674,1,93.40335083007812,-16.973724365234375,-3.8358633518218994,23.524525684811966,0.8828125,4,0.2
14,2,810,-62.022131100860896,70,0,0,0,5.115036269687673,-0.00506337804836221,0.9084585132077336,1.7849549353122711,0.0033891301313815347,0.1931256651878357,0.009527343325316906,0.5383720993995667,0.21645309031009674,1,96.23431396484375,-11.705960273742676,-7.161316871643066,23.997171034316285,2.9765625,3,0.22857142857142856
