episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,1,31,-108.75219821129704,31,0,1,0,7.851952079672128,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,88.66847229003906,-18.57900047302246,-1.4472347497940063,10.480630960217242,1.4091796875,4,0.3225806451612903
2,1,72,-104.21657948512254,41,0,0,1,5.122409684430865,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,92.1043930053711,-18.057933807373047,-0.9972639083862305,13.793204317397224,1.5849609375,1,0.21951219512195122
3,1,142,-84.38916726569104,70,0,0,0,9.982877828679298,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,1,92.87118530273438,-21.99615478515625,-9.160649299621582,22.572345130533467,1.7392578125,3,0.2714285714285714
4,1,212,-184.1476206602485,70,0,0,1,7.3584161398458425,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,94.23484802246094,-12.526365280151367,-10.02680492401123,21.925981228557266,3.671875,3,0.2571428571428571
5,1,282,-54.07632806526598,70,0,0,0,6.262216427434591,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,1,90.84794616699219,-10.355003356933594,-4.804287910461426,21.252255664392376,4.29296875,2,0.2571428571428571
6,1,352,-137.48323855391845,70,0,1,0,7.669805650867816,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,92.07388305664062,-21.026809692382812,-5.527917385101318,21.64776288979416,0.68896484375,1,0.2
7,1,366,-116.29716213059882,14,0,0,1,7.825127126043304,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,87.6892318725586,-14.434590339660645,-0.7711191177368164,4.89152054634345,0.25341796875,4,0.35714285714285715
8,1,436,-62.889971252450536,70,0,0,0,5.506175886555336,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,1,95.40509796142578,-15.920790672302246,-8.312658309936523,25.765013717812394,1.5908203125,1,0.21428571428571427
9,1,461,-106.9607550609244,25,0,1,0,8.23486173479346,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666,0,87.8565902709961,-17.85138511657715,-1.3439799547195435,8.48542928412899,2.07421875,1,0.32
10,2,531,-30.287958419902502,70,0,0,0,3.511573805079777,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,92.52629852294922,-15.8666353225708,-4.821697235107422,22.72641150009741,1.419921875,5,0.22857142857142856
11,2,601,-70.3614135536066,70,0,0,0,7.335508724555167,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,92.23441314697266,-20.335826873779297,-6.302769184112549,22.883324961182762,0.184814453125,3,0.22857142857142856
12,2,671,-49.340576388425895,70,0,0,0,3.9099926538234975,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,93.56629943847656,-11.796053886413574,-5.32074499130249,22.533548585049946,3.1328125,5,0.24285714285714285
13,2,741,-20.727244610643808,70,0,0,0,2.46002347311123,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,93.60650634765625,-16.228178024291992,-3.720257043838501,23.123048122387075,0.89892578125,5,0.21428571428571427
14,2,811,-61.76195669375078,70,0,0,0,5.321952530227769,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,96.13224029541016,-10.580097198486328,-6.481522083282471,23.867280793674734,2.884765625,3,0.24285714285714285
15,2,881,-90.83376286989974,70,0,0,0,6.8596018180604865,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,1,95.26956176757812,-17.621337890625,-9.103927612304688,25.470097846532376,3.138671875,3,0.22857142857142856
16,2,945,-14.489144732428683,64,1,1,0,1.9428948033012567,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676,0,94.5021743774414,-16.019271850585938,-3.982914686203003,22.046173050233286,0.69677734375,0,0.1875
17,3,1015,-47.73690268214138,70,0,0,0,5.584578289370661,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,92.21955871582031,-12.111184120178223,-7.086620807647705,24.417525543532246,2.94140625,3,0.22857142857142856
18,3,1085,-32.766732548874884,70,0,0,0,5.597249240160349,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,92.39295196533203,-9.650964736938477,-3.2824535369873047,22.809987822771284,3.244140625,2,0.24285714285714285
19,3,1123,-94.97854615365225,38,0,1,0,2.5977266792982907,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,0,93.8193588256836,-16.325042724609375,-4.224916458129883,13.810864551913765,0.51806640625,0,0.2894736842105263
20,3,1193,-31.983112762770787,70,0,0,0,3.021783578475414,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,93.32707977294922,-15.43575382232666,-5.184548377990723,23.829006895287698,0.97607421875,1,0.22857142857142856
21,3,1261,73.16778284771243,68,1,0,0,1.794893457059285,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,0,93.60810089111328,-14.759967803955078,-3.800879955291748,21.052401158005313,0.9287109375,2,0.22058823529411764
22,3,1331,-35.5541539538551,70,0,0,0,3.451522671880708,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,95.01099395751953,-11.71240234375,-5.039696216583252,21.521067116671595,1.5595703125,5,0.24285714285714285
23,3,1401,-71.74977922150224,70,0,0,0,13.880596755193288,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,94.77767944335938,-1.2422071695327759,-7.11952018737793,26.373765113619044,2.94140625,2,0.32857142857142857
24,3,1471,-45.26753292134722,70,0,0,0,3.273672068475452,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085,1,94.28260803222656,-11.828397750854492,-4.6745500564575195,21.92597743024786,2.474609375,2,0.21428571428571427
25,4,1541,-44.65391661802849,70,0,0,0,4.248358349107274,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,1,98.42953491210938,-13.136399269104004,-5.391447067260742,27.267374221706067,0.75634765625,0,0.22857142857142856
26,4,1599,105.50651987313461,58,1,0,0,1.9513122948835997,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,0,94.68504333496094,-12.911480903625488,-4.001791000366211,19.746639659205588,3.115234375,5,0.20689655172413793
27,4,1669,-54.635995297378734,70,0,0,0,7.11905738438412,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,1,92.7253189086914,-8.998477935791016,-6.799806118011475,24.356455107407857,5.0390625,3,0.3
28,4,1739,-54.3219041166772,70,0,0,0,8.524849230828579,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,1,94.7469482421875,-6.0623273849487305,-4.197596549987793,23.903940881699487,2.974609375,2,0.24285714285714285
29,4,1809,-38.28122356885964,70,0,0,0,6.027708291660443,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,1,93.59538269042969,-8.902464866638184,-4.599605560302734,23.039516097108255,2.556640625,2,0.2714285714285714
30,4,1879,-36.153473225291634,70,0,0,0,4.005711164481701,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795,1,93.0796127319336,-12.929915428161621,-6.024303913116455,22.564147484270162,1.900390625,5,0.24285714285714285
