episode,status,success,collision,out_of_altitude,timeout,reward,steps,final_distance,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,video,preview
1,collision,0,1,0,0,-72.8705987630443,34,7.357387922275149,18.251042298288073,0.11602783203125,0,forward,0.5882352941176471,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage02_23m_10k_seed7_stable_v2_stage2_pilot\recordings\stochastic_20260722_223409\episode_001_collision.mp4,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage02_23m_10k_seed7_stable_v2_stage2_pilot\recordings\stochastic_20260722_223409\episode_001_collision_preview.jpg
2,success,1,0,0,0,131.162841784761,59,1.716272817429558,26.187192998234657,2.46875,0,forward,0.4406779661016949,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage02_23m_10k_seed7_stable_v2_stage2_pilot\recordings\stochastic_20260722_223409\episode_002_success.mp4,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage02_23m_10k_seed7_stable_v2_stage2_pilot\recordings\stochastic_20260722_223409\episode_002_success_preview.jpg
