update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl
1,512,512,0.001279252814128995,320.73983573913574,1.7741848044097424,0.0160092155856546
2,1024,512,-0.01006787150981836,1057.332805633545,1.7605569995939732,0.01050471025519073
3,1536,512,-0.005653292348142713,97.90924048423767,1.763843610882759,0.011085342150181532
4,2048,512,-0.011221991531783715,1357.476230621338,1.7682405561208725,0.006225867720786482
5,2560,512,-0.0016876166337169707,482.48692512512207,1.7616388835012913,0.004089431895408779
6,3072,512,-0.0004878356121480465,1203.196979522705,1.7239650674164295,0.014507692569168285
7,3584,512,-0.0070129671366885304,915.4163665771484,1.6959077306091785,0.017467557336203754
8,4096,512,-0.003230652306228876,532.158091545105,1.7245687693357468,0.003457609476754442
9,4608,512,-0.001644880452658981,1006.5508918762207,1.7040984705090523,0.0017133668879978359
10,5120,512,-0.0016360505833290517,397.9908666610718,1.7187027521431446,0.003312350600026548
11,5606,486,0.0035092136240564287,632.9826822280884,1.6932344064116478,0.003927295596440672
