phase,checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,rank,advanced,selected
stage2,ppo_step_0042500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0042500.pt,42500,42500,deterministic,30,1.0,0.0,0.0,0.0,0.0,145.76814788781138,52.733333333333334,1.7358595224314837,38.615443400627356,2.0073567708333333,1,1,1
stage2,ppo_step_0045000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0045000.pt,45000,45000,deterministic,30,0.9666666666666667,0.1,0.0,0.1,0.0,134.16980142796828,53.06666666666667,1.7617078296299524,38.40061008814625,2.214225260416667,2,1,0
stage2,ppo_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_final.pt,,45000,deterministic,30,0.9333333333333333,0.2,0.0,0.2,0.0,120.91907772859437,53.266666666666666,1.7547795981196772,38.43668301678669,2.3172200520833335,3,1,0
