update,global_step,rollout_size,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,500,500,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683
2,1000,500,-0.009830211536609568,0.49616953218355775,1.7772348038852215,0.009898876404494382,0.002920782982982928,0.5785543918609619,0.011679687537252903,0.5432813763618469,0.22275298833847046
3,1500,500,-0.003901318123098463,0.2312835156917572,1.7658556513488293,0.009797752808988765,0.0011580669574868807,0.784248948097229,0.009820312261581421,0.5475228428840637,0.2266750931739807
4,2000,500,-0.00829855352640152,0.24040901334956288,1.7481211572885513,0.009696629213483146,0.0033782976388465613,0.44777363538742065,0.009410155937075615,0.5498465299606323,0.25620338320732117
5,2500,500,-0.01856476766988635,0.7125242557376623,1.7503628358244896,0.009595505617977527,0.009712347244203556,0.20873546600341797,0.009878906421363354,0.5422083735466003,0.2412842959165573
6,3000,500,-0.006692034425213933,0.24885277776047587,1.757659737020731,0.00949438202247191,0.003570564127585385,0.06193572282791138,0.010285155847668648,0.5456771850585938,0.24005882441997528
7,3500,500,-0.009925117337843403,0.5376623328775167,1.7440440729260445,0.009393258426966292,0.004542055893580255,0.5649096965789795,0.007730468641966581,0.5482797026634216,0.2494170367717743
8,4000,500,-0.012942305678734556,0.14821862312965095,1.701938334852457,0.009292134831460675,0.006129345241788542,0.5319314002990723,0.006566406227648258,0.5596067905426025,0.29703930020332336
9,4500,500,-0.013814744132105261,0.42727807024493814,1.6785697489976883,0.009191011235955057,0.007841581907996442,0.34596699476242065,0.005101562477648258,0.5612760782241821,0.34000933170318604
10,5000,500,-0.013363925769226626,0.390534330625087,1.6673060655593872,0.009089887640449438,0.008684608335897792,0.31451237201690674,0.007566406391561031,0.5521833896636963,0.333963006734848
11,5500,500,-0.012055358762154356,0.23728026752360165,1.674906488507986,0.008988764044943821,0.007839744797820458,0.17167603969573975,0.008917968720197678,0.5486915707588196,0.3429550528526306
12,6000,500,-0.014533255947753787,0.5036403704434633,1.6779567301273346,0.008887640449438202,0.00618691795898485,0.7835985422134399,0.006464843638241291,0.5638560652732849,0.3476489186286926
13,6500,500,-0.013625960214994848,0.5034907283261418,1.6864574179053307,0.008786516853932584,0.006314696023764554,0.8659003973007202,0.004660156089812517,0.5698704123497009,0.3110523819923401
14,7000,500,-0.012643731257412583,0.37855273159220815,1.6448629721999168,0.008685393258426967,0.00648917615035316,0.8417870998382568,0.005617187358438969,0.5652735829353333,0.3182727098464966
15,7500,500,-0.008810195897240192,0.19423932675272226,1.6480581015348434,0.008584269662921348,0.0034670053742047457,0.7993725538253784,0.0059960936196148396,0.5648812055587769,0.380150705575943
16,8000,500,-0.005776012898422778,0.22541779442690313,1.6026761308312416,0.00848314606741573,0.004176076421572361,0.5842189192771912,0.005648437421768904,0.5639045238494873,0.3998071253299713
17,8500,500,-0.02176775794941932,0.19986504106782377,1.5791128799319267,0.008382022471910113,0.008345687019755132,0.8546735048294067,0.005671875085681677,0.5618554949760437,0.4251650869846344
18,9000,500,-0.016268456616671756,0.3225898174569011,1.5559876263141632,0.008280898876404494,0.0058008025225717574,0.6885778903961182,0.004230468533933163,0.5690279006958008,0.4077042043209076
19,9500,500,-0.016235118702752516,0.38018848234787583,1.4934165701270103,0.008179775280898877,0.007208492133941036,0.6749889850616455,0.002707031322643161,0.5799464583396912,0.4857564866542816
20,10000,500,-0.017484306066762656,0.14441874099429697,1.4394085183739662,0.008078651685393259,0.005214629283727845,0.8516664505004883,0.0026914062909781933,0.5796043276786804,0.467132031917572
21,10500,500,-0.01705350901465863,0.4099791147746146,1.4837412312626839,0.00797752808988764,0.008000007786904462,0.7762840986251831,0.00232812506146729,0.5815221667289734,0.4373956620693207
22,11000,500,-0.013166880293283612,1.2059359513223171,1.3662102706730366,0.007876404494382021,0.004820632868359098,0.2819436192512512,0.002921875100582838,0.57837975025177,0.49354344606399536
23,11500,500,-0.014503951562801376,0.8342503039166331,1.4431963562965393,0.007775280898876405,0.0073831570844049565,0.36694788932800293,0.0037460937164723873,0.5732958912849426,0.42847350239753723
24,12000,500,-0.0071953497536014766,0.7001180415973067,1.454510685056448,0.007674157303370786,0.004796458058990538,0.4126364588737488,0.0033203125931322575,0.5748500823974609,0.4547547996044159
25,12500,500,-0.022689057048410177,0.11390438675880432,1.466116737574339,0.007573033707865169,0.00803196764900349,0.9502213597297668,0.003152343677356839,0.57548588514328,0.44312453269958496
26,13000,500,-0.021153457098989747,0.16172840842045844,1.4070626497268677,0.0074719101123595505,0.008543079573428258,0.9376755356788635,0.002749999985098839,0.5787652730941772,0.45799702405929565
27,13500,500,-0.007215812394861132,1.268912810832262,1.3062787614762783,0.007370786516853933,0.0067795600116369314,0.18600493669509888,0.0025390624068677425,0.5786454677581787,0.4757789969444275
28,14000,500,-0.009972091589588672,0.9166408460587263,1.3274077326059341,0.007269662921348314,0.006409425677702529,0.27500438690185547,0.0025312500074505806,0.5828042030334473,0.48130932450294495
29,14500,500,-0.012871015060227364,1.1667664423584938,1.3826270587742329,0.007168539325842696,0.009902736419462599,0.1372930407524109,0.0032226562034338713,0.5761290788650513,0.4715622663497925
30,15000,500,-0.0052066037023905665,1.8074540570378304,1.3245758265256882,0.007067415730337078,0.005692128746886738,0.25928598642349243,0.003007812425494194,0.5797037482261658,0.49455738067626953
31,15500,500,-0.010634960082825273,1.55429950915277,1.3269958421587944,0.006966292134831461,0.005430426070233807,0.15751123428344727,0.0026523438282310963,0.5791522860527039,0.4865742027759552
32,16000,500,-0.0069345206138677895,1.4746349100023508,1.3421815559267998,0.006865168539325842,0.006110235830419697,0.57640540599823,0.004261718597263098,0.5769457221031189,0.4958438575267792
33,16500,500,-0.005700887515558861,1.316865360364318,1.3204967118799686,0.0067640449438202245,0.008234988956246525,0.22984492778778076,0.004449218977242708,0.5772174000740051,0.49779364466667175
34,17000,500,-0.00701944061438553,0.9588567093014717,1.4249818697571754,0.006662921348314607,0.010556589782936499,0.16960829496383667,0.0054765623062849045,0.5738843679428101,0.41534093022346497
35,17500,500,-0.010512859676964581,0.8448277032002807,1.410781342536211,0.006561797752808988,0.0061775146205036435,0.4334411025047302,0.004906250163912773,0.577567458152771,0.44786226749420166
36,18000,500,-0.0160614755586721,1.1188281122595072,1.4255963414907455,0.0064606741573033704,0.009120181450271048,0.18306946754455566,0.004585937596857548,0.5816822648048401,0.45480766892433167
37,18500,500,-0.014074727892875671,1.312929105013609,1.4439399987459183,0.006359550561797753,0.007612789897393668,0.06498020887374878,0.0038085938431322575,0.5738598704338074,0.4242468774318695
38,19000,500,-0.014326456905109808,0.6619016667827964,1.4992190711200237,0.006258426966292134,0.006430753528547939,0.29733800888061523,0.003937500063329935,0.5736509561538696,0.4192745089530945
39,19500,500,-0.016080457862699404,0.6048263912089169,1.4573266319930553,0.006157303370786517,0.007904507514467696,0.5595040321350098,0.003992187324911356,0.5754802227020264,0.45283254981040955
40,20000,500,-0.017131329281255603,1.313254289329052,1.4911666922271252,0.006056179775280899,0.008292367230751552,0.24122482538223267,0.003566406201571226,0.5741942524909973,0.42303332686424255
41,20500,500,-0.028426067379768938,1.0418334994465113,1.4851245321333408,0.005955056179775281,0.008383273263461888,0.3268846869468689,0.0031757813412696123,0.5727356672286987,0.38779616355895996
42,21000,500,-0.022029191866749898,0.4058007230050862,1.5355495251715183,0.005853932584269662,0.009667684789747,0.4551054835319519,0.003316406160593033,0.5692358016967773,0.40555816888809204
43,21500,500,-0.011059854063205421,1.0474185775965452,1.502951592206955,0.0057528089887640445,0.006114725234510843,0.24621087312698364,0.0032187500037252903,0.5739485621452332,0.4025610089302063
44,22000,500,-0.015662490550312214,0.829427583143115,1.4794461242854595,0.005651685393258427,0.007062946817313787,0.353316068649292,0.003789062611758709,0.5704062581062317,0.43080148100852966
45,22500,500,-0.008892843645298854,0.798386693932116,1.4512144587934017,0.005550561797752809,0.0064210231430479325,0.12294590473175049,0.0038164062425494194,0.5672516226768494,0.4375225007534027
46,23000,500,-0.015751104394439608,1.197642618790269,1.4359993673861027,0.00544943820224719,0.008814323315164074,0.22679603099822998,0.0031679687090218067,0.5762267112731934,0.43125981092453003
47,23500,500,-0.014179129138938151,0.11814160365611315,1.4928603284060955,0.005348314606741573,0.00472556019667536,0.8539143800735474,0.002371093723922968,0.5741045475006104,0.4119720458984375
48,24000,500,-0.02177106126327999,0.41934572672471404,1.463735617697239,0.005247191011235955,0.008268678677268326,0.22333866357803345,0.001996093662455678,0.5753582715988159,0.43424326181411743
49,24500,500,-0.018143284367397428,0.5129327352624387,1.408004954457283,0.005146067415730337,0.006354916564305313,0.5201879143714905,0.0028085936792194843,0.5801279544830322,0.474409282207489
50,25000,500,-0.014476902782917023,0.23919937014579773,1.4356194995343685,0.0050449438202247185,0.008053457393543795,0.7623301148414612,0.002664062427356839,0.5797540545463562,0.4498174488544464
51,25500,500,-0.016922480332141276,0.3126580654643476,1.368782963603735,0.004943820224719101,0.007178190040576737,0.6678408980369568,0.0027539061848074198,0.5796890258789062,0.446958988904953
52,26000,500,-0.021685224419343285,0.047905447136145085,1.380781915038824,0.004842696629213483,0.007085276323778089,0.9739813804626465,0.0024999999441206455,0.5801318883895874,0.4830358922481537
53,26500,500,-0.027025923365727067,0.02922915417002514,1.3431073687970638,0.004741573033707865,0.012162975879618898,0.9800728559494019,0.0026132813654839993,0.5794036984443665,0.5057557821273804
54,27000,500,-0.023204788041766733,0.3260692860931158,1.3400562405586243,0.004640449438202247,0.012022442679153755,0.5466891527175903,0.0024960937444120646,0.5851276516914368,0.488746702671051
55,27500,500,-0.01830815547145903,0.9652119372040033,1.2505064718425274,0.004539325842696628,0.007832553223124705,0.11197000741958618,0.0026523438282310963,0.5847792625427246,0.535114049911499
56,28000,500,-0.01875913777621463,0.9155587004497647,1.2141105607151985,0.004438202247191011,0.007719622226431966,0.2854474186897278,0.0020507811568677425,0.5869737267494202,0.534954845905304
57,28500,500,-0.021628148533636704,1.4299541488289833,1.2028124667704105,0.004337078651685393,0.01159647645545192,0.37038755416870117,0.0024570312816649675,0.585749089717865,0.5467624664306641
58,29000,500,-0.003940890543162823,1.4380993787199259,1.1099991016089916,0.004235955056179775,0.022612440341617912,-0.0173492431640625,0.0012617188040167093,0.5912604928016663,0.5655516386032104
59,29500,500,-0.009316049232438672,0.7473028851673007,1.2524309307336807,0.004134831460674156,0.014538254879880697,0.4342285990715027,0.002402343787252903,0.5880218148231506,0.5481574535369873
60,30000,500,-0.005673473817296326,0.9064618637785316,1.1158998012542725,0.004033707865168539,0.01189375529793324,0.6387209892272949,0.002105468651279807,0.5945847630500793,0.6231743097305298
61,30500,500,-0.013142386975232512,1.2642634008079767,1.2034239657223225,0.003932584269662921,0.007136994929169305,0.4867086410522461,0.0030507813207805157,0.585839033126831,0.5567044019699097
62,31000,500,-0.014414567660423927,0.6677369754761457,1.2699198313057423,0.003831460674157303,0.003084618743741885,0.8092181086540222,0.003492187475785613,0.582086980342865,0.5206093192100525
63,31500,500,-0.021013592835515738,0.702596209011972,1.227808691561222,0.0037303370786516844,0.008853277715388685,0.6700493693351746,0.003761718748137355,0.577479362487793,0.5508413910865784
64,32000,500,0.0027177837619092315,0.8385448856279254,1.2062249779701233,0.0036292134831460675,0.023577468644361943,0.40254414081573486,0.003281249897554517,0.574501097202301,0.542022705078125
65,32500,500,-0.016370223951525986,1.6609670463949442,1.0409767236560583,0.003528089887640449,0.0162238932098262,0.10331815481185913,0.002105468651279807,0.5859278440475464,0.6567873358726501
66,33000,500,-0.007394852407742292,1.1084818169474602,1.1701094880700111,0.003426966292134831,0.025077539263293147,0.41520917415618896,0.002402343787252903,0.5901342034339905,0.6047082543373108
