update,global_step,rollout_size,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,4500,500,-0.01288771815598011,1.872231137007475,1.7033848762512207,0.01,0.006646323097811546,0.4691770672798157,0.008777343668043613,0.5574403405189514,0.2966993451118469
2,5000,500,-0.02299540063540917,0.9849437223747373,1.7286133468151093,0.009526315789473685,0.010884517323574983,0.32753920555114746,0.009101562201976776,0.5552738904953003,0.26630327105522156
3,5500,500,-0.002537521126214415,0.21363855199888349,1.7368222326040268,0.009052631578947368,0.003702069874634617,0.9042243361473083,0.00878124963492155,0.5523583292961121,0.28289881348609924
4,6000,500,-0.007303218939341605,0.36004846077412367,1.7326040044426918,0.008578947368421052,0.002377742999669863,0.7699872255325317,0.008355468511581421,0.5538109540939331,0.2960680425167084
5,6500,500,-0.0038014076417312026,0.864430395886302,1.7039069458842278,0.008105263157894737,0.005117683715070598,-0.0005509853363037109,0.007691406179219484,0.552177369594574,0.33205047249794006
6,7000,500,-0.012097747676307335,0.6937453569844365,1.6735308952629566,0.0076315789473684215,0.007343391742324457,0.4394400715827942,0.006550781428813934,0.5521945953369141,0.3562137186527252
7,7500,500,-0.007438534055836499,0.600191324017942,1.6703798845410347,0.007157894736842105,0.0028868622321169823,0.5386781692504883,0.005054687615483999,0.55641770362854,0.35983073711395264
8,8000,500,-0.00819995446363464,1.3207580838352442,1.6650488898158073,0.006684210526315789,0.005082617983134696,0.04234558343887329,0.007054687477648258,0.5502725839614868,0.31958699226379395
9,8500,500,-0.012064776150509715,1.528266416862607,1.6592212803661823,0.006210526315789474,0.006918188486451982,0.09684324264526367,0.005625000223517418,0.5563629865646362,0.3710092604160309
10,9000,500,-0.020570040578604676,0.9079771395772696,1.691455740481615,0.005736842105263158,0.016256042537861504,0.3192015290260315,0.00827343761920929,0.5476692914962769,0.3198082149028778
11,9500,500,-0.005155954597285017,1.3586220815777779,1.676615547388792,0.005263157894736842,0.004510482540354133,0.06056565046310425,0.006992187350988388,0.549554705619812,0.33366408944129944
12,10000,500,-0.011561816150788218,0.6118501401506364,1.6942113898694515,0.004789473684210526,0.008964069678768283,0.2852966785430908,0.007699218578636646,0.5490602254867554,0.3162289261817932
13,10500,500,-0.004743529832921922,1.5212653800845146,1.6466159150004387,0.00431578947368421,0.005031889690144453,0.24872088432312012,0.005894531030207872,0.5610301494598389,0.3482095003128052
14,11000,500,-0.017456901900004596,1.2520230244845152,1.6581772454082966,0.003842105263157894,0.00878760869090911,0.48615705966949463,0.004964843858033419,0.5730754137039185,0.3170056939125061
15,11500,500,-0.008441151765111954,1.0918698888272047,1.6307159028947353,0.0033684210526315787,0.007686197401199024,0.27116650342941284,0.0038125000428408384,0.5749081969261169,0.35757696628570557
16,12000,500,-0.00872093450743705,1.6006297953426838,1.5745774433016777,0.0028947368421052624,0.0057993238187918905,-0.003590822219848633,0.001617187517695129,0.5892298817634583,0.38851794600486755
17,12500,500,-0.014250592474127188,1.6207837611436844,1.5619943588972092,0.002421052631578947,0.00844284322738531,0.1825580596923828,0.0021835938096046448,0.5931099057197571,0.33867761492729187
18,13000,500,-0.008180539589375257,1.37582384981215,1.5821662098169327,0.00194736842105263,0.005392321640101727,0.07142388820648193,0.001957031199708581,0.5919126272201538,0.3939785957336426
19,13500,500,-0.00828287861077115,1.478298120200634,1.5486164577305317,0.0014736842105263163,0.006205882793437922,0.08553111553192139,0.00341796875,0.5848298072814941,0.3784194588661194
20,14000,500,-0.008480359450913966,1.6437353268265724,1.56126619130373,0.0009999999999999992,0.003369448108060169,0.24557971954345703,0.0031445312779396772,0.583371102809906,0.38897350430488586
