update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl
1,500,500,0.0014715699362568557,334.6476140022278,1.7721899561583996,0.021560601067903917
2,1000,500,0.01693279732717201,453.227876663208,1.7845883555710316,0.017487555036495905
3,1500,500,0.0032107309671118855,591.9334964752197,1.7629935778677464,0.02568049606634304
4,2000,500,-0.016027950347051956,412.101580619812,1.777249675244093,0.01015469701087568
5,2500,500,-0.010765891231130809,374.6022319793701,1.7797644510865211,0.014191524955094792
6,3000,500,-0.0008382975938729942,373.09493923187256,1.7752351239323616,0.02020795516000362
7,3500,500,0.0008580550202168524,292.118408203125,1.7680416852235794,0.00965325712604681
8,4000,500,-0.0091824698029086,239.51042687892914,1.7608039639890194,0.012891345264506526
9,4500,500,-0.006036603183019906,87.79649923741817,1.7669566683471203,0.009846288621702115
10,5000,500,-0.011982278781943023,75.08098788559437,1.7246666997671127,0.014316455170046538
