episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,115.30794407066718,12,1,0,0,0,1.6752370786608743,93.77375793457031,-15.333999633789062,-2.699951171875,8.37934250697072,1.45703125,0,1.0
2,115.31771961126569,12,1,0,0,0,1.6695912092973881,93.7807388305664,-15.333999633789062,-2.698554515838623,8.386183694613107,1.4638671875,0,1.0
3,115.30951308775384,12,1,0,0,0,1.6726544935114926,93.77725982666016,-15.333999633789062,-2.6978578567504883,8.38268304947295,1.4658203125,0,1.0
4,115.3074686988334,12,1,0,0,0,1.6715441636927537,93.7791519165039,-15.333999633789062,-2.695173501968384,8.384574325236532,1.46875,0,1.0
5,115.31780775633763,12,1,0,0,0,1.6717276236789158,93.77764129638672,-15.333999633789062,-2.7012228965759277,8.383280877784825,1.4560546875,0,1.0
6,115.26129900966136,12,1,0,0,0,1.6866725621670928,93.77377319335938,-15.333999633789062,-2.6859657764434814,8.367870302781476,1.4580078125,0,1.0
7,115.28688516592693,12,1,0,0,0,1.6862152515097513,93.7606201171875,-15.333999633789062,-2.700756549835205,8.366169410369587,1.4609375,0,1.0
8,115.31320679865456,12,1,0,0,0,1.6727554415348649,93.77674865722656,-15.333999633789062,-2.699695110321045,8.382219779556173,1.46484375,0,1.0
9,115.34473442783468,12,1,0,0,0,1.6549635163171645,93.80901336669922,-15.333999633789062,-2.6964101791381836,8.414313534250024,1.4697265625,0,1.0
10,115.29227516805157,12,1,0,0,0,1.683053141935764,93.76970672607422,-15.333999633789062,-2.700244188308716,8.369892438838313,1.4638671875,0,1.0
11,115.30818885898688,12,1,0,0,0,1.6773493687535068,93.77082824707031,-15.333999633789062,-2.7019999027252197,8.376289423554631,1.4501953125,0,1.0
12,115.3092515457593,12,1,0,0,0,1.674646849863826,93.77973175048828,-15.333999633789062,-2.6998090744018555,8.385382694179288,1.462890625,0,1.0
13,115.28164192576267,12,1,0,0,0,1.6877889325297637,93.75911712646484,-15.333999633789062,-2.6990725994110107,8.364228095171384,1.455078125,0,1.0
14,115.2916186043902,12,1,0,0,0,1.68415989022954,93.77371215820312,-15.333999633789062,-2.700145959854126,8.37372139857126,1.4580078125,0,1.0
15,115.29725245282185,12,1,0,0,0,1.6809133285716011,93.7723617553711,-15.333999633789062,-2.6997756958007812,8.372276577200969,1.4609375,0,1.0
16,115.2723940074862,12,1,0,0,0,1.6907524385632893,93.75572967529297,-15.333999633789062,-2.69856333732605,8.361359501846692,1.451171875,0,1.0
17,115.28308831302682,12,1,0,0,0,1.6881519057953225,93.75834655761719,-15.333999633789062,-2.7007060050964355,8.363686229232988,1.4580078125,0,1.0
18,115.31538009554743,12,1,0,0,0,1.6685778750243094,93.8036880493164,-15.333999633789062,-2.69515061378479,8.39818434717339,1.46484375,0,1.0
19,115.32415580319217,12,1,0,0,0,1.6622503792643235,93.79045867919922,-15.333999633789062,-2.693875789642334,8.395779674809642,1.4580078125,0,1.0
20,115.38376801571539,12,1,0,0,0,1.6304441075253213,93.8341064453125,-15.333999633789062,-2.690497398376465,8.4397998168007,1.5107421875,0,1.0
