update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl
1,500,500,0.004442725592525676,293.9374508857727,1.7659890241920948,0.0288106249536213
2,1000,500,-0.0034560083295218647,261.87816166877747,1.7625303864479065,0.010390579816885293
3,1500,500,-0.010964734014123678,184.4579006433487,1.7637044824659824,0.011378173621778842
4,2000,500,-0.017894615535624325,181.57871222496033,1.729338463395834,0.01687658709124662
5,2500,500,-0.005942337273154408,134.59282112121582,1.7226684391498566,0.011388004146283492
6,3000,500,-0.010582982999039814,264.49126958847046,1.73248852789402,0.01914215987926582
7,3500,500,-0.007257984834723175,158.0153558254242,1.7222103402018547,0.012112097614590311
8,4000,500,-0.010922204775852151,120.62231636047363,1.7248029820621014,0.02103814110159874
9,4500,500,-0.003209037648048252,227.9500756263733,1.6719214990735054,0.004509460981353186
10,5000,500,-0.0032178276451304555,86.17309927940369,1.6251548565924168,0.01946915724874998
11,5500,500,-0.0002616429701447487,151.11100459098816,1.5931735970079899,0.01103384789894335
12,6000,500,-0.002003252157010138,281.17569303512573,1.548788245767355,0.0018452672429702943
13,6500,500,-0.007980886264704168,268.3448655605316,1.5844812244176865,0.003086741537117632
14,7000,500,-0.0017319261096417904,141.4896434545517,1.6184691712260246,0.005193352015339769
15,7500,500,-0.005176565726287663,155.8682563304901,1.6449901759624481,0.014120737556368113
16,8000,500,-0.004782133502885699,107.48916566371918,1.6318223252892494,0.00685770002019126
17,8500,500,-0.003651415987405926,251.26374053955078,1.5661426112055779,0.012782298235833878
18,9000,500,-0.0029085365822538733,323.53036880493164,1.5795055776834488,0.005345555135136237
19,9500,500,-0.0018723914690781385,77.08015751838684,1.6106914281845093,0.004848319098726961
20,10000,500,-0.010031791200162843,124.87643921375275,1.6161712482571602,0.01077851964510046
21,10500,500,-0.012269390601431951,173.74233281612396,1.5753460489213467,0.009276498523831833
22,11000,500,-0.005675724125467241,242.15085434913635,1.5187380500137806,0.002780346207146067
23,11500,500,-0.00869481428526342,78.91202795505524,1.4410960376262665,0.005967796296317829
24,12000,500,-0.0004033007426187396,67.19006145000458,1.338332649320364,0.006723825506924186
25,12500,500,-0.0005801867519039661,212.69616770744324,1.3280275017023087,0.00157777526328573
26,13000,500,-0.0004917661426588893,132.68424451351166,1.37112458050251,0.006606144783290802
27,13500,500,-0.003084760159254074,64.08148860931396,1.3876440189778805,0.008437013746515731
28,14000,500,-0.011676255788188428,156.36366748809814,1.415103878825903,0.00880105813848786
29,14500,500,-0.0003769200702663511,117.66967248916626,1.4001296758651733,0.009744768285600003
30,15000,500,-0.009767085779458284,34.966617166996,1.418149445205927,0.002947246377971169
31,15500,500,-0.0014337317261379212,128.5145742893219,1.430379617959261,0.007427169490256347
32,16000,500,-0.0011460591631475836,217.4878396987915,1.3207825273275375,0.0009195848433591891
33,16500,500,-0.0016668551252223551,239.23439073562622,1.375652275979519,0.0002986527488246793
34,17000,500,0.002825352014042437,215.00513315200806,1.4241099655628204,0.005999318924295949
35,17500,500,0.00037765534943901,161.39405155181885,1.4105622954666615,0.004544468120002421
36,18000,500,0.003296736569609493,189.0182867050171,1.2654181569814682,0.015377282470581122
37,18500,500,-6.903917528688908e-05,166.63538932800293,1.2603889368474483,0.005858099510078318
38,19000,500,-0.005023821140639484,195.16320848464966,1.279065653681755,0.006357706315611722
39,19500,500,0.001380786023219116,167.9003233909607,1.3470927886664867,0.01443556046433514
40,20000,500,-0.007395931577775627,85.75012862682343,1.458238948136568,0.008853244537021965
41,20500,500,-0.00019476725719869137,43.93129003047943,1.4928973466157913,0.0007050195736155729
42,21000,500,-0.003139761509373784,72.71120309829712,1.483703836798668,0.0006674059166016377
43,21500,500,-0.010822708893101662,189.79309844970703,1.434189535677433,0.009878565033432096
44,22000,500,-0.00652829249156639,137.95097959041595,1.4121358580887318,0.005176050748559646
45,22500,500,-0.0003531515540089458,37.098503947257996,1.4681821390986443,0.003505515356664546
46,23000,500,-0.005333930399501696,205.85982465744019,1.4753869771957397,0.0010194131850767008
47,23500,500,-0.007828850211808458,66.78473055362701,1.5060592368245125,0.004513800704444293
48,24000,500,0.000884257024154067,73.48085910081863,1.493624422699213,0.0008406151291637798
49,24500,500,-0.002381225858698599,63.90648132562637,1.5059987790882587,0.004094660180271603
50,25000,500,-0.0036362978571560234,65.3074426651001,1.5511731840670109,0.004014184418338118
51,25500,500,-0.008572573977289721,72.39179918169975,1.5680840983986855,0.00754637776844902
52,26000,500,-0.007604708487633616,23.688906371593475,1.5360003001987934,0.005781148749520071
53,26500,500,-0.0011253666307311505,27.07002627849579,1.52937276288867,0.000986282316262077
54,27000,500,1.960917143151164e-05,137.10856223106384,1.5084483921527863,0.008677725361849298
55,27500,500,-0.0018313711043447256,70.65095740556717,1.5112651474773884,0.004890986387181329
56,28000,500,-0.005039431038312614,231.23623728752136,1.5263305194675922,0.012436441102181561
57,28500,500,0.00030405871802940965,127.23170357942581,1.5267937369644642,0.012173862009149161
58,29000,500,-0.0033933280792552978,136.4871180653572,1.5327750146389008,0.01046972652693512
59,29500,500,-0.007042768498649821,159.33438527584076,1.5531469359993935,0.006934678518518922
60,30000,500,-0.007893875008448958,20.941099911928177,1.5908037796616554,0.004294425300031435
61,30500,500,-0.01536194485379383,15.208714693784714,1.5728018321096897,0.007315419225051301
62,31000,500,-0.003920142102288082,203.90236127376556,1.579849161207676,0.002347301568988769
63,31500,500,-0.011986633471678942,119.51270663738251,1.5951948873698711,0.014327911296277307
64,32000,500,-0.006035205064108595,123.85590434074402,1.5649238973855972,0.008926073103793897
65,32500,500,-0.015419061033753678,12.25453844666481,1.5524647608399391,0.010581549729977269
66,33000,500,-0.007646135753020644,64.44942396879196,1.5523481592535973,0.012339267010247568
67,33500,500,-0.004988216925994493,63.61958837509155,1.5597742721438408,0.029607817064970732
68,34000,500,-0.002148020430468023,67.57435977458954,1.5748895183205605,0.012330720885074697
69,34500,500,-0.001124553760746494,211.5186244249344,1.563172809779644,0.009101768417167477
70,35000,500,-0.010450840331031941,17.074943989515305,1.61244635283947,0.007505386769480538
71,35500,500,-0.0062942831427790225,9.02471087872982,1.6633532010018826,0.004031120808576816
72,36000,500,-0.003571935332729481,75.21291384100914,1.6320351585745811,0.007166261599195423
73,36500,500,-0.0019243726273998618,138.722101688385,1.659718468785286,0.015638658253010362
74,37000,500,-0.005957255110843107,149.45602548122406,1.5864153690636158,0.012242505188623909
75,37500,500,-0.007425013609463349,13.724604994058609,1.5819469392299652,0.003768667965232453
76,38000,500,-0.0054632509127259254,135.3543223142624,1.5560531243681908,0.0054529668200302694
77,38500,500,-0.005445535789476708,21.51294994354248,1.4434183463454247,0.0034574962410260923
78,39000,500,-0.0017924631101777777,28.97408378124237,1.3730491884052753,0.010250725143123418
79,39500,500,-0.00317564292345196,197.27500939369202,1.4098693951964378,0.0017517345568194287
80,40000,500,-0.00018134317360818386,143.7656775712967,1.4341639205813408,0.0002858448890492582
81,40500,500,-0.0034858141152653843,198.8145489692688,1.4215691722929478,0.0034491688998059544
82,41000,500,0.0010915576422121376,389.3508896827698,1.3187610916793346,0.0018655606072570663
83,41500,500,-0.0021282186498865485,184.51701188087463,1.3415728583931923,0.0016405202750320313
84,42000,500,-0.0008952300995588303,315.9709429740906,1.4003777652978897,0.0003510355841171986
85,42500,500,0.000636537850368768,75.6896824836731,1.473161056637764,0.009512819844530895
86,43000,500,-0.010821478732395917,24.570542335510254,1.4703814387321472,0.0055517078853881685
87,43500,500,-0.0013979849172756076,182.805104970932,1.5576750598847866,0.01290609993156977
88,44000,500,-0.004551797406747937,86.79429334402084,1.5610736161470413,0.00755890026812267
89,44500,500,-0.006346729234792292,112.01080602407455,1.564158920198679,0.007570488040073542
90,45000,500,-0.0033692268771119416,69.12023848295212,1.5544744543731213,0.009538420956232585
