episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,1,5042,-111.0604453381991,42,0,0,1,9.387615241878773,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,99.33269500732422,-14.515443801879883,-0.6115146279335022,18.048756538935248,1.6669921875,0,0.40476190476190477
2,1,5112,-88.01269601052846,70,0,1,0,9.145882768713836,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,99.99502563476562,-15.625118255615234,-4.549110412597656,23.983711894452334,0.353271484375,0,0.2571428571428571
3,1,5140,-85.16918841915606,28,0,1,0,12.723716252908993,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,95.81250762939453,-15.39212417602539,-4.190797805786133,11.6720848011687,0.177978515625,0,0.5
4,1,5204,129.52842712514445,64,1,0,0,1.9279775844133133,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,107.15858459472656,-10.199769020080566,-4.752995491027832,26.569105737357695,1.10546875,0,0.4375
5,1,5284,126.06472051210727,80,1,0,0,1.78747217450725,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,107.13713836669922,-12.433924674987793,-3.642624616622925,29.313848395239535,1.8193359375,0,0.35
6,1,5366,-119.18221356635149,82,0,1,0,7.963794784491415,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,0,111.54915618896484,-17.545522689819336,-4.778817653656006,32.55297617074492,0.60400390625,0,0.3902439024390244
7,1,5476,-57.509237038620455,110,0,0,0,15.645162950002709,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341,1,123.08151245117188,-13.122922897338867,-3.9867966175079346,47.23250108756149,1.7919921875,0,0.41818181818181815
8,2,5552,124.33845368762185,76,1,0,0,1.7627418672866042,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,107.17665100097656,-11.131454467773438,-4.677316665649414,29.38655532314075,1.3681640625,0,0.3684210526315789
9,2,5593,-77.93658670677804,41,0,1,0,7.447165850431312,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,100.74563598632812,-13.66915512084961,-2.935683488845825,17.82305098200778,0.1875,0,0.4878048780487805
10,2,5624,-72.21944695189251,31,0,1,0,7.177275647374754,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,100.80325317382812,-13.039795875549316,-3.1010658740997314,16.519765501850905,0.359130859375,0,0.6451612903225806
11,2,5691,122.74409567598057,67,1,0,0,1.7604510802643862,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,105.93734741210938,-11.300292015075684,-3.084451913833618,26.88631386900671,0.86181640625,0,0.373134328358209
12,2,5747,114.47827733060095,56,1,0,0,1.9902795080532738,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,105.8749771118164,-10.923271179199219,-2.089794874191284,25.194084034589782,1.505859375,0,0.4642857142857143
13,2,5806,129.8469678199616,59,1,0,0,1.8215322280557404,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,107.65498352050781,-12.57361125946045,-2.435108184814453,27.784943009411535,1.130859375,0,0.4745762711864407
14,2,5916,-84.94337072843902,110,0,0,0,14.412507899894184,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,1,120.6978530883789,-16.307050704956055,-5.686163425445557,46.60196174859371,0.90185546875,0,0.39090909090909093
15,2,5976,131.6628774296836,60,1,0,0,1.9402838266886215,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193,0,107.11285400390625,-11.727460861206055,-4.6456074714660645,27.339011216147863,1.126953125,0,0.45
16,3,6086,-95.88617698693103,110,0,0,0,10.26864941481752,-0.00698948057834059,0.7328489692881703,1.5662480853497982,0.006560075837114709,0.4872446656227112,0.005539062432944775,0.5561414957046509,0.3865092098712921,1,114.79340362548828,-4.37034797668457,-6.510005474090576,42.96792927746454,2.306640625,0,0.33636363636363636
