update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,5500,500,-0.011378643117495812,1.610895548015833,1.5669011063873768,0.007804142776876688,0.24613356590270996,0.0021835938096046448,0.56288743019104,0.4341021776199341
2,6000,500,-0.008860428788466379,2.300736501812935,1.5356500782072544,0.004312504031986464,0.26873695850372314,0.0033984375186264515,0.5712372064590454,0.4442213475704193
3,6500,500,-0.00698948057834059,0.7328489692881703,1.5662480853497982,0.006560075837114709,0.4872446656227112,0.005539062432944775,0.5561414957046509,0.3865092098712921
4,7000,500,-0.008944195593358018,1.261723505333066,1.5887131690979004,0.005728615729822195,0.19908004999160767,0.005089843645691872,0.5568944215774536,0.37304824590682983
5,7500,500,-0.008347889059223235,0.8155144406482577,1.5665305741131306,0.006685803005893831,0.2502405047416687,0.004675781354308128,0.5601248145103455,0.3464791774749756
6,8000,500,-0.004791422572452575,1.406196340918541,1.5611399002373219,0.0037320823648769874,0.22106361389160156,0.004488281439989805,0.5750059485435486,0.3905523419380188
7,8500,500,-0.008631615492049605,0.7385402796790004,1.5329809114336967,0.0014512777224808815,0.47685885429382324,0.0038125000428408384,0.577166736125946,0.3893930912017822
8,9000,500,-0.018661035428522155,1.5420293286442757,1.4813596419990063,0.008556396838685032,0.38140177726745605,0.004875000100582838,0.5733452439308167,0.4370964467525482
9,9500,500,-0.0038786876248195767,1.6858109906315804,1.5436987653374672,0.005506106117536547,0.5630182027816772,0.00462109362706542,0.5732693076133728,0.4027744233608246
10,10000,500,-0.012076939281541854,2.0663681626319885,1.5237168595194817,0.004389900213936926,0.5271996855735779,0.004183593671768904,0.571624219417572,0.4405655264854431
11,10500,500,-0.011770675104344264,2.2811263613402843,1.445518083870411,0.005689164318027906,0.41006606817245483,0.0035898438654839993,0.5778856873512268,0.47720009088516235
12,11000,500,-0.00981425766076427,1.2289795465767384,1.5435882583260536,0.012508447049185634,0.801012396812439,0.004433593712747097,0.5717524886131287,0.3929460942745209
13,11500,500,-0.016731669427827,1.6711431853473186,1.5396885387599468,0.00658743160602171,0.5058371424674988,0.004890624899417162,0.5717201828956604,0.393684059381485
14,12000,500,-0.01304557773983106,0.9655643617734313,1.543371319770813,0.008453680609818548,0.7191787958145142,0.0043359375558793545,0.5733991265296936,0.4193347096443176
15,12500,500,-0.01148065278539434,1.7500496245920658,1.5236239917576313,0.0037943569404887967,0.5985553860664368,0.0048164064064621925,0.5704590082168579,0.40546345710754395
16,13000,500,-0.010708031069952995,1.590209037065506,1.4867993742227554,0.0032125547659234144,0.5371254086494446,0.004343749955296516,0.5728456377983093,0.4452257454395294
17,13500,500,-0.00987738455296494,1.7358287312090397,1.5013988390564919,0.005088577221613377,0.4481978416442871,0.003562500001862645,0.5754957795143127,0.44030362367630005
18,14000,500,-0.019334281038027257,1.6957067288458347,1.465891819447279,0.008171742607373744,0.555830717086792,0.003519531339406967,0.5760230422019958,0.4730641841888428
19,14500,500,-0.011391227541025728,1.2400039192289114,1.4154591709375381,0.0030241648073570104,0.6749373078346252,0.002890625037252903,0.5805900692939758,0.4889342188835144
20,15000,500,-0.009784945781575516,0.4657973605208099,1.3452029824256897,0.007193204350187443,0.7092271447181702,0.0009453124948777258,0.5942320227622986,0.5694898962974548
