episode,step,action,action_name,reward,cumulative_reward,distance_to_target,x,y,z,success,collision,out_of_altitude,timeout
1,1,3,up,-0.15296539853666785,-0.15296539853666785,22.674744413171368,85.41300201416016,-15.333999633789062,-3.3865396976470947,0,0,0,0
1,2,2,right,-0.09980112343353227,-0.2527665219702001,22.643778137386608,85.41300201416016,-15.16909408569336,-3.446934700012207,0,0,0,0
1,3,0,forward,0.27055583004436984,0.01778930807416973,22.420648256937024,85.57805633544922,-14.832473754882812,-3.5028157234191895,0,0,0,0
1,4,0,forward,0.7958709720694415,0.8136602801436112,21.934661070310263,86.0417709350586,-14.663960456848145,-3.504413604736328,0,0,0,0
1,5,0,forward,1.1241900304417427,1.937850310585354,21.288036094933904,86.68461608886719,-14.588343620300293,-3.4762396812438965,0,0,0,0
1,6,0,forward,1.4080870137643273,3.3459373243496815,20.504565351733152,87.47399139404297,-14.554323196411133,-3.435417890548706,0,0,0,0
1,7,0,forward,1.4760509141160127,4.8219882384656945,19.692166297768484,88.29755401611328,-14.541808128356934,-3.394988775253296,0,0,0,0
1,8,0,forward,1.4537611274473121,6.275749365913007,18.89586027632884,89.107666015625,-14.538636207580566,-3.3554036617279053,0,0,0,0
1,9,4,down,1.2636658246778338,7.539415190590841,18.237081153128717,89.77877044677734,-14.538407325744629,-2.9844303131103516,0,0,0,0
1,10,5,hover,0.4919928939489011,8.031408084539741,17.960092979040542,90.06036376953125,-14.538407325744629,-2.951869010925293,0,0,0,0
1,11,0,forward,0.47129816269813746,8.502706247237878,17.69568201014112,90.32984161376953,-14.538991928100586,-2.969904899597168,0,0,0,0
1,12,2,right,0.7309450990755664,9.233651346313444,17.301075640069584,90.70223999023438,-14.392741203308105,-3.0330705642700195,0,0,0,0
1,13,2,right,0.5557090375907563,9.7893603839042,16.993888757668707,90.91223907470703,-13.865296363830566,-3.034658908843994,0,0,0,0
1,14,0,forward,0.5885342071077104,10.37789459101191,16.66244394835008,91.1636962890625,-13.356697082519531,-3.097421646118164,0,0,0,0
1,15,0,forward,1.0515151508790523,11.42940974189096,16.099733257447298,91.69680786132812,-13.114949226379395,-3.0956249237060547,0,0,0,0
1,16,0,forward,1.3472914738833175,12.776701215774278,15.39329013028309,92.39537048339844,-13.010682106018066,-3.0623791217803955,0,0,0,0
1,17,0,forward,1.404436961528284,14.18113817730256,14.662832852331142,93.12720489501953,-12.968470573425293,-3.0259103775024414,0,0,0,0
1,18,0,forward,1.5155435913212087,15.696681768623769,13.878241565284124,93.92204284667969,-12.949576377868652,-2.985220193862915,0,0,0,0
1,19,0,forward,1.5023951397449913,17.19907690836876,13.095348277838463,94.70905303955078,-12.940850257873535,-2.946434259414673,0,0,0,0
1,20,2,right,1.235031633508403,18.434108541877162,12.445226580585375,95.3396224975586,-12.766488075256348,-3.060847043991089,0,0,0,0
1,21,0,forward,0.956957877862245,19.391066419739406,11.935279047580003,95.80790710449219,-12.420809745788574,-3.051748752593994,0,0,0,0
