"scenario","seed","algorithm","method","stage","run_name","status","started_at","completed_at","elapsed_seconds","elapsed_hours"
"airsimnh","7","dqn","scratch","final_33m","scratch_33m_45k_seed7_stable_v3_scratch","completed","2026-07-27T10:12:42.5199970+08:00","2026-07-27T17:37:33.1211893+08:00","26690.601","7.414056"
"airsimnh","7","ppo","scratch","final_33m","scratch_33m_45k_seed7_stable_v3_scratch","completed","2026-07-27T18:24:11.0552813+08:00","2026-07-28T00:54:09.8325790+08:00","23398.776","6.49966"
