"scenario","seed","algorithm","method","stage","run_name","status","started_at","completed_at","elapsed_seconds","elapsed_hours"
"airsimnh","7","ppo","curriculum","stage01_10m","curriculum_stage01_10m_5k_seed7_stable_v2_stage2_pilot","completed","2026-07-22T18:43:44.5027592+08:00","2026-07-22T19:29:53.2504374+08:00","2768.748","0.769097"
"airsimnh","7","ppo","curriculum","stage02_23m","curriculum_stage02_23m_10k_seed7_stable_v2_stage2_pilot","completed","2026-07-22T19:33:14.6071836+08:00","2026-07-22T21:03:31.5880825+08:00","5416.981","1.504717"
