episode,global_step,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,9,-103.52824774914193,9,0,0,1,30.29445919562796,0.999829,nan,0,87.67070007324219,-16.1851749420166,-0.8755748867988586,3.996090892829855,0.274169921875,4,0.5555555555555556
2,22,-109.22993800708288,13,0,0,1,30.792608167950554,0.999582,nan,0,87.06844329833984,-18.40911293029785,-0.5366491079330444,5.530312731868575,0.8203125,4,0.46153846153846156
3,132,-163.33930162884175,110,0,0,1,20.559856971745877,0.997492,nan,0,99.64656066894531,-12.491971015930176,-10.208174705505371,39.07154077185532,2.837890625,2,0.2
4,169,-106.12677813805247,37,0,0,1,26.7750393512242,0.996789,nan,0,91.13009643554688,-20.79961585998535,-0.7985022664070129,16.287123976528065,1.5537109375,1,0.2972972972972973
