update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl
1,6118,512,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
2,6630,512,0.040257859975099564,223.18431282043457,1.7485532760620117,0.07803059701109305
3,7142,512,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
4,7654,512,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
5,8166,512,-0.011386815283913165,164.98494029045105,1.7072160094976425,0.010606007184833288
6,8678,512,-0.011303903884254396,66.94729781150818,1.692777942866087,0.01293392849038355
7,9190,512,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
8,9702,512,-0.006305905058979988,68.42995110154152,1.6168980300426483,0.008830969891278073
9,10214,512,-0.007967861776705831,62.96805998682976,1.5466347448527813,0.014429406612180173
10,10726,512,-0.006233724649064243,8.260573476552963,1.511087752878666,0.006395520700607449
11,11238,512,-0.003928518621250987,177.68250286579132,1.5003429278731346,0.003711331490194425
12,11750,512,-0.006754000613000244,68.73882135748863,1.5162350572645664,0.016112971730763093
13,12262,512,-0.0026141450507566333,222.82959651947021,1.4508556425571442,0.007100698974682018
14,12774,512,-0.010603676666505635,41.95368801057339,1.3985025063157082,0.019009311188710853
15,13286,512,-0.004036347061628476,184.49199378490448,1.4063431955873966,0.007765170244965702
16,13798,512,-0.010272691200952977,178.44565951824188,1.446609366685152,0.01216080822632648
17,14310,512,-0.009556022705510259,112.37717464566231,1.5261854529380798,0.018566271872259676
18,14822,512,-0.006120471138274297,65.92204612493515,1.5935661308467388,0.020042725664097816
19,15334,512,-0.007421665184665471,311.4208655357361,1.55133406072855,0.019542476773494855
20,15846,512,-0.005926645884755999,6.007600717246532,1.364489372819662,0.013065988809103146
21,16358,512,-0.008269111858680844,305.90925121307373,1.5384962894022465,0.015779167733853683
22,16870,512,-0.0007546768756583333,329.11618423461914,1.5835040174424648,0.001918830064823851
23,17382,512,-0.0029787250387016684,670.4698104858398,1.6083618253469467,0.0006386925524566323
24,17894,512,-0.00493677519261837,390.7407717704773,1.5785730965435505,0.006709753215545788
25,18406,512,-0.0036317269841674715,166.80591869354248,1.520999550819397,0.007180474029155448
26,18918,512,-0.0025771762666408904,73.23856300115585,1.4275096505880356,0.013594903197372332
27,19430,512,0.002531333826482296,114.7178047299385,1.4562083818018436,0.009427885990589857
28,19942,512,-0.00717820183490403,526.2736177444458,1.4886222705245018,0.0015688228304497898
29,20454,512,-0.006375808792654425,508.42131519317627,1.394955862313509,0.0015906472981441766
30,20966,512,-4.162263940088451e-05,488.73735523223877,1.3535692617297173,0.0014702706539537758
31,21478,512,-0.0015423697768710554,653.8674201965332,1.3648833371698856,0.0006179935880936682
32,21990,512,-0.006286310061113909,797.941198348999,1.3540069684386253,0.0015022294828668237
33,22502,512,-0.00033945863833650947,673.6571817398071,1.3242132849991322,0.0004030609270557761
34,23014,512,0.0003528940142132342,767.2575531005859,1.3045707754790783,0.0007798342267051339
35,23314,300,-0.007613795809447765,1208.514633178711,1.2957244217395782,0.0005192345444811508
