episode,reward,steps,success,collision,out_of_altitude,final_distance
1,116.03287744541255,12,1,0,0,1.6835914591211776
2,116.0340366479443,12,1,0,0,1.6830118578553006
3,116.0246219376126,12,1,0,0,1.6877192130211565
4,116.03115930232715,12,1,0,0,1.6844509857522625
5,116.05368908023871,12,1,0,0,1.6731856417080941
6,116.04065837922006,12,1,0,0,1.679701447305802
7,116.01650955007949,12,1,0,0,1.6917758618760894
8,116.05454282115868,12,1,0,0,1.6727592263364972
9,116.04366429206159,12,1,0,0,1.6781984908850347
10,116.03806018763161,12,1,0,0,1.681000543100028
11,116.05869467652442,12,1,0,0,1.6706828435652357
12,116.03751197626437,12,1,0,0,1.6812746487836494
13,116.02716294291844,12,1,0,0,1.6864491654566212
14,116.02881828601123,12,1,0,0,1.6856210388218344
15,116.02995285637634,12,1,0,0,1.6850537536392811
16,116.03346593045832,12,1,0,0,1.6832972165982942
17,116.04268993279531,12,1,0,0,1.6786856705181827
18,116.03906518295707,12,1,0,0,1.6804971345964081
19,116.02840821825042,12,1,0,0,1.6858260674305487
20,116.04056151748792,12,1,0,0,1.679749878171872
