episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,115.21294100985928,12,1,0,0,0,1.7278042414230192,93.71047973632812,-15.333999633789062,-2.7072904109954834,8.316102045361093,1.419921875,0,1.0
2,115.24138200393784,12,1,0,0,0,1.7148925009587253,93.72551727294922,-15.333999633789062,-2.70759916305542,8.330835452848378,1.4287109375,0,1.0
3,115.24341222832368,12,1,0,0,0,1.7147951255743141,93.72545623779297,-15.333999633789062,-2.708477258682251,8.33121012583958,1.4287109375,0,1.0
4,115.23517436338,12,1,0,0,0,1.7192859142425732,93.72006225585938,-15.333999633789062,-2.7091758251190186,8.32554788428804,1.4287109375,0,1.0
5,115.25232491217211,12,1,0,0,0,1.7091762505654955,93.7322769165039,-15.333999633789062,-2.7072911262512207,8.337752848912544,1.4345703125,0,1.0
6,115.26157462612653,12,1,0,0,0,1.7051394530136452,93.73693084716797,-15.333999633789062,-2.7076950073242188,8.342364887085678,1.4345703125,0,1.0
7,115.22697937210002,12,1,0,0,0,1.7214243375075209,93.71794891357422,-15.333999633789062,-2.7072219848632812,8.323291106879255,1.4267578125,0,1.0
8,115.25408951567132,12,1,0,0,0,1.7094037359989669,93.7318115234375,-15.333999633789062,-2.708282470703125,8.337381068101262,1.4345703125,0,1.0
9,115.2508046199445,12,1,0,0,0,1.7100452514735514,93.7312240600586,-15.333999633789062,-2.707460880279541,8.336790424891635,1.43359375,0,1.0
10,115.26076185627453,12,1,0,0,0,1.7057185423978805,93.73624420166016,-15.333999633789062,-2.707730531692505,8.341691986282855,1.4375,0,1.0
11,115.24671723239275,12,1,0,0,0,1.7128548482219046,93.72775268554688,-15.333999633789062,-2.7083561420440674,8.333259788084582,1.4306640625,0,1.0
12,115.23454881209321,12,1,0,0,0,1.7192956002672852,93.72551727294922,-15.333999633789062,-2.7086358070373535,8.325667461574293,1.4287109375,0,1.0
13,115.23516720987557,12,1,0,0,0,1.717716087489258,93.7221908569336,-15.333999633789062,-2.707704782485962,8.327513617760959,1.4306640625,0,1.0
14,115.2264785375984,12,1,0,0,0,1.723674818416094,93.72030639648438,-15.333999633789062,-2.709214448928833,8.320407975807628,1.4248046875,0,1.0
15,115.24025547760166,12,1,0,0,0,1.7166898186922437,93.72852325439453,-15.333999633789062,-2.708890438079834,8.328509636416905,1.431640625,0,1.0
16,115.24572640480004,12,1,0,0,0,1.7136471825562092,93.73219299316406,-15.333999633789062,-2.7083792686462402,8.33774112440996,1.4296875,0,1.0
17,115.24946592324852,12,1,0,0,0,1.7118791088559542,93.72881317138672,-15.333999633789062,-2.708770275115967,8.334438799821147,1.431640625,0,1.0
18,115.24675750058049,12,1,0,0,0,1.7135790736448726,93.72667694091797,-15.333999633789062,-2.7094995975494385,8.33223083440115,1.4306640625,0,1.0
19,115.2490617261758,12,1,0,0,0,1.7108796969629314,93.73028564453125,-15.333999633789062,-2.7072629928588867,8.335724157378179,1.4326171875,0,1.0
20,115.2429859296453,12,1,0,0,0,1.7151007045352153,93.72501373291016,-15.333999633789062,-2.7089033126831055,8.33054818992584,1.43359375,0,1.0
