episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl
1,1,15057,-73.77444483571222,57,0,1,0,18.016179691300696,0.028942625659207504,259.4627380371094,1.6040889124075572,0.03067326087815066
2,1,15207,25.810814311426842,150,0,0,0,15.898549977935673,0.028942625659207504,259.4627380371094,1.6040889124075572,0.03067326087815066
3,1,15267,-77.32128372964057,60,0,1,0,19.71459892358676,0.028942625659207504,259.4627380371094,1.6040889124075572,0.03067326087815066
4,1,15397,-61.17824391590304,130,0,0,1,9.893079229764593,0.028942625659207504,259.4627380371094,1.6040889124075572,0.03067326087815066
5,1,15437,-72.37257770120206,40,0,1,0,17.740246049863437,0.028942625659207504,259.4627380371094,1.6040889124075572,0.03067326087815066
6,2,15587,18.3143476807445,150,0,0,0,19.646783293276837,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
7,2,15737,23.774484561635198,150,0,0,0,16.91671533838401,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
8,2,15767,-86.40906086319822,30,0,0,1,25.00848818936276,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
9,2,15807,-73.50573869072628,40,0,1,0,18.306826479012194,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
10,2,15841,-84.59216867804062,34,0,1,0,24.000041611558483,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
11,2,15991,-2.003020178916347,150,0,0,0,29.80546742918997,0.0076046195172239095,164.83602261543274,1.547139499336481,0.007874433402321301
12,3,16141,10.165539707514139,150,0,0,0,23.721187250585203,-1.0107643902301788e-05,67.08342981338501,1.4663091599941254,0.011775633407523856
13,3,16178,-71.5142660316783,37,0,1,0,17.38609014948821,-1.0107643902301788e-05,67.08342981338501,1.4663091599941254,0.011775633407523856
14,3,16328,8.21572934958813,150,0,0,0,24.69609308482863,-1.0107643902301788e-05,67.08342981338501,1.4663091599941254,0.011775633407523856
15,3,16478,2.2462317468314383,150,0,0,0,27.680841746524266,-1.0107643902301788e-05,67.08342981338501,1.4663091599941254,0.011775633407523856
16,4,16628,14.254694586649219,150,0,0,0,21.676609905937788,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
17,4,16671,-72.0576891210223,43,0,1,0,17.507801833955746,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
18,4,16712,-72.73704130125584,41,0,1,0,17.897477784276983,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
19,4,16839,-88.70489480947793,127,0,0,1,23.73140453838803,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
20,4,16873,-74.60894102505982,34,0,0,1,19.00842834329911,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
21,4,17000,-76.37184431390875,127,0,0,1,17.564879987723586,0.03436815261375159,275.13611793518066,1.4880205728113651,0.025837606815912295
22,5,17029,-71.99096849065212,29,0,1,0,17.824441518770655,-0.0003743095221580006,128.13132345676422,1.4974935166537762,0.006703068967908621
23,5,17179,-8.882286775633013,150,0,0,0,33.24510066126112,-0.0003743095221580006,128.13132345676422,1.4974935166537762,0.006703068967908621
24,5,17329,-6.917928115107887,150,0,0,0,32.26292133099851,-0.0003743095221580006,128.13132345676422,1.4974935166537762,0.006703068967908621
25,5,17476,-105.56177894625296,147,0,1,0,31.65984681285825,-0.0003743095221580006,128.13132345676422,1.4974935166537762,0.006703068967908621
26,6,17626,8.41264446840183,150,0,0,0,24.597635039243666,0.009153647552011535,20.904237270355225,1.5212822817265987,0.014829961786745116
27,6,17776,10.482642693367069,150,0,0,0,23.562635786965508,0.009153647552011535,20.904237270355225,1.5212822817265987,0.014829961786745116
28,6,17926,1.536295120627152,150,0,0,0,28.03581005962637,0.009153647552011535,20.904237270355225,1.5212822817265987,0.014829961786745116
29,7,18076,3.535173434514096,150,0,0,0,27.036370480560816,-0.007256393146235496,69.7102068066597,1.5528625212609768,0.019199522212147713
30,7,18157,-59.08005835349167,81,0,0,1,10.068986936368532,-0.007256393146235496,69.7102068066597,1.5528625212609768,0.019199522212147713
31,7,18307,7.441785131060443,150,0,0,0,25.083064566499438,-0.007256393146235496,69.7102068066597,1.5528625212609768,0.019199522212147713
32,7,18457,8.002517379194611,150,0,0,0,24.8026990700254,-0.007256393146235496,69.7102068066597,1.5528625212609768,0.019199522212147713
33,8,18607,12.814207812355658,150,0,0,0,22.39685329308454,0.003650326485512778,14.242461562156677,1.4982457235455513,0.02046271660219645
