policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m
deterministic,50,0.64,0.08,0.0,0.08,0.28,73.88155111904175,78.02,12.400417932762418,51.89658253591753,0.121527099609375
stochastic,50,0.56,0.2,0.02,0.22,0.22,61.558797601673206,82.92,6.373372277718151,43.580324204520785,0.118214111328125
