episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,-70.84247474139842,24,0,1,0,0,7.0152441057070485,100.92367553710938,-12.841532707214355,-2.5832953453063965,16.395978727193796,0.82177734375,0,0.875
2,-70.62778394171073,24,0,1,0,0,6.908975545587011,101.00885772705078,-12.753722190856934,-2.5834667682647705,16.4921138564219,0.826171875,0,0.875
3,-70.64109777645797,24,0,1,0,0,6.916865033047246,101.00189971923828,-12.758496284484863,-2.5852174758911133,16.48963857379622,0.83349609375,0,0.875
4,-71.03389383724135,24,0,1,0,0,7.114570254857231,100.84809875488281,-12.934181213378906,-2.5901148319244385,16.316815471827553,0.78076171875,0,0.875
5,-70.64678675725987,24,0,1,0,0,6.9093593469609065,101.01166534423828,-12.751371383666992,-2.573742151260376,16.501813825896694,0.84130859375,0,0.875
6,-70.61422737415137,24,0,1,0,0,6.902376641985783,101.01358795166016,-12.746143341064453,-2.5829341411590576,16.50103961790031,0.83203125,0,0.875
7,-70.7685566759417,24,0,1,0,0,6.9814384491195,100.95240020751953,-12.810013771057129,-2.5878183841705322,16.4279096452147,0.81201171875,0,0.875
8,-70.58708977828061,24,0,1,0,0,6.8908279865895015,101.02762603759766,-12.73151969909668,-2.5845701694488525,16.512341993287563,0.84716796875,0,0.875
9,-70.66783831375228,24,0,1,0,0,6.925405054853789,100.99596405029297,-12.767791748046875,-2.580759048461914,16.485407352661547,0.8173828125,0,0.875
10,-70.6287174607102,24,0,1,0,0,6.9086315627085115,101.00848388671875,-12.750682830810547,-2.5811872482299805,16.489523481097255,0.86279296875,0,0.875
11,-71.00034805314134,24,0,1,0,0,7.096638700526404,100.85784912109375,-12.90694808959961,-2.589517116546631,16.328973167335423,0.80419921875,0,0.875
12,-70.91261529959752,24,0,1,0,0,7.052608120549168,100.89338684082031,-12.871725082397461,-2.586669921875,16.369492349005785,0.81982421875,0,0.875
13,-70.96670281297166,24,0,1,0,0,7.07980818282613,100.86955261230469,-12.887802124023438,-2.5912222862243652,16.339369843895685,0.775390625,0,0.875
14,-70.66603761156986,24,0,1,0,0,6.929606146099621,100.9919204711914,-12.770476341247559,-2.5877928733825684,16.474900055777212,0.82275390625,0,0.875
15,-70.91277443666485,24,0,1,0,0,7.055015459077564,100.88639068603516,-12.857795715332031,-2.5924670696258545,16.358493350378456,0.8037109375,0,0.875
16,-70.59600543802674,24,0,1,0,0,6.895456800270054,101.01887512207031,-12.739811897277832,-2.584637403488159,16.50309451416544,0.83984375,0,0.875
17,-70.76734590101694,24,0,1,0,0,6.976731316013289,100.95388793945312,-12.807367324829102,-2.581845998764038,16.4306222444692,0.826171875,0,0.875
18,-70.9955165007839,24,0,1,0,0,7.0951215458906844,100.85874938964844,-12.904693603515625,-2.589545965194702,16.32720128330292,0.8271484375,0,0.875
19,-71.01108592070689,24,0,1,0,0,7.103246405232583,100.85405731201172,-12.91754150390625,-2.591278553009033,16.32308594805495,0.81005859375,0,0.875
20,-70.62810210249228,24,0,1,0,0,6.911125182694702,101.00674438476562,-12.754861831665039,-2.5866739749908447,16.490805834170885,0.8271484375,0,0.875
